Quarter,chronos,chronos_median,chronos_mean,rw,actual
2010Q1,9.763885,9.763885,9.767327,9.740380214665977,9.964582651895938
2010Q2,10.072979,10.072979,10.069468,9.964582651895938,10.123827176517604
2010Q3,10.080324,10.080324,10.074004,10.123827176517604,10.01681623784313
2010Q4,9.9039955,9.9039955,9.9002905,10.01681623784313,9.697078200213083
2011Q1,9.732072,9.732072,9.733753,9.697078200213083,9.957975737820197
2011Q2,10.073299,10.073299,10.068989,9.957975737820197,10.060063859578225
2011Q3,10.039111,10.039111,10.034288,10.060063859578225,10.071541137532378
2011Q4,9.983322,9.983322,9.978392,10.071541137532378,9.884304733119354
2012Q1,9.970341,9.970341,9.968299,9.884304733119354,9.934501606065297
2012Q2,10.034266,10.034266,10.029567,9.934501606065297,9.894446807883979
2012Q3,9.865922,9.865922,9.862046,9.894446807883979,10.009198006958242
2012Q4,9.835349,9.835349,9.829808,10.009198006958242,9.774517171239168
2013Q1,9.827663,9.827663,9.824553,9.774517171239168,10.014581600041716
2013Q2,10.032581,10.032581,10.0282135,10.014581600041716,10.181876578076317
2013Q3,10.078571,10.078571,10.0730915,10.181876578076317,10.253087527802897
2013Q4,10.071481,10.071481,10.0630865,10.253087527802897,9.984145455553582
2014Q1,10.023524,10.023524,10.020303,9.984145455553582,10.337540117496205
2014Q2,10.372962,10.372962,10.364332,10.337540117496205,10.314603332153107
2014Q3,10.255555,10.255555,10.245937,10.314603332153107,10.282608685304691
2014Q4,10.111337,10.111337,10.102897,10.282608685304691,9.97720259035841
2015Q1,10.036656,10.036656,10.032115,9.97720259035841,10.423173804734315
2015Q2,10.43976,10.43976,10.428344,10.423173804734315,10.323841273138044
2015Q3,10.327175,10.327175,10.316511,10.323841273138044,10.335594591590713
2015Q4,10.233923,10.233923,10.2245865,10.335594591590713,10.154246270883311
2016Q1,10.252444,10.252444,10.24655,10.154246270883311,10.325481962595504
2016Q2,10.408437,10.408437,10.396818,10.325481962595504,10.41900216578825
2016Q3,10.37562,10.37562,10.366215,10.41900216578825,10.487656570526328
2016Q4,10.279334,10.279334,10.270726,10.487656570526328,10.25061708363133
2017Q1,10.365653,10.365653,10.360683,10.25061708363133,10.461387583688047
2017Q2,10.522399,10.522399,10.512698,10.461387583688047,10.483745951017456
2017Q3,10.486682,10.486682,10.480053,10.483745951017456,10.434703865949853
2017Q4,10.316064,10.316064,10.308176,10.434703865949853,10.329082031939459
2018Q1,10.41691,10.41691,10.412223,10.329082031939459,10.462817585361734
2018Q2,10.544712,10.544712,10.536872,10.462817585361734,10.455071168774287
2018Q3,10.448042,10.448042,10.441159,10.455071168774287,10.581013352193116
2018Q4,10.368727,10.368727,10.35795,10.581013352193116,10.278493453159584
2019Q1,10.40957,10.40957,10.404414,10.278493453159584,10.370361288772935
2019Q2,10.495291,10.495291,10.484798,10.370361288772935,10.368164520276139
2019Q3,10.388304,10.388304,10.379657,10.368164520276139,10.473053671324719
2019Q4,10.307607,10.307607,10.298578,10.473053671324719,10.084975428581505
2020Q1,10.277508,10.277508,10.270618,10.084975428581505,10.241743910950843
2020Q2,10.369868,10.369868,10.359775,10.241743910950843,9.514879561494386
2020Q3,9.497421,9.497421,9.49802,9.514879561494386,10.356472176612268
2020Q4,10.092811,10.092811,10.071116,10.356472176612268,10.288069449727868
2021Q1,10.307062,10.307062,10.291148,10.288069449727868,10.522988192927775
2021Q2,10.505191,10.505191,10.485661,10.522988192927775,10.537945736747394
2021Q3,10.493552,10.493552,10.478169,10.537945736747394,10.559192437620203
2021Q4,10.425058,10.425058,10.408058,10.559192437620203,10.267088456545594
2022Q1,10.375507,10.375507,10.366253,10.267088456545594,10.482065278352938
2022Q2,10.522125,10.522125,10.510335,10.482065278352938,10.755986151322503
2022Q3,10.601924,10.601924,10.590451,10.755986151322503,10.471921488922431
2022Q4,10.34532,10.34532,10.332948,10.471921488922431,10.121819546853116
2023Q1,10.303198,10.303198,10.296925,10.121819546853116,10.269518591398885
2023Q2,10.43527,10.43527,10.42519,10.269518591398885,10.890982043416615
2023Q3,10.6779,10.6779,10.666424,10.890982043416615,9.77166897791528
2023Q4,9.929218,9.929218,9.923439,9.77166897791528,9.457200449907708
2024Q1,9.565977,9.565977,9.572037,9.457200449907708,9.746833742490752
2024Q2,9.904861,9.904861,9.907439,9.746833742490752,9.835743900449609
2024Q3,9.754581,9.754581,9.755706,9.835743900449609,9.973013615184739
2024Q4,9.836598,9.836598,9.828632,9.973013615184739,9.840547752762253
2025Q1,9.924642,9.924642,9.917328,9.840547752762253,9.996977895623466
2025Q2,10.09284,10.09284,10.086292,9.996977895623466,10.058780436942163
2025Q3,10.06859,10.06859,10.059568,10.058780436942163,10.038018445493734
2025Q4,9.940106,9.940106,9.931462,10.038018445493734,10.141716741268379
