Quarter,starts,lo,hi
2026Q1,26852.686,21407.479051842125,31232.174093984202
2026Q2,26852.686,21407.479051842125,33682.89968101743
2026Q3,26852.686,19849.89769266377,33682.89968101743
2026Q4,24898.893,17066.456124905057,31232.174093984202
2027Q1,28959.76,19849.89769266377,36325.928752427564
2027Q2,28959.76,19849.89769266377,39176.350974025896
2027Q3,26852.686,18405.644002034558,39176.350974025896
2027Q4,24898.893,17066.456124905057,36325.928752427564
2028Q1,28959.76,17066.456124905057,39176.350974025896
2028Q2,28959.76,19849.89769266377,42250.44006720665
2028Q3,28959.76,18405.644002034558,39473.41561385039
2028Q4,24898.893,17066.456124905057,36325.928752427564
2029Q1,28959.76,18405.644002034558,39176.350974025896
