"model","role","benchmark"
"rw","model_set",TRUE
"snaive","model_set",FALSE
"ar","model_set",FALSE
"tslm","model_set",FALSE
"tslm_s","model_set",FALSE
"vecm_rt","model_set",FALSE
"ardl_rt","model_set",FALSE
"nardl_rt","model_set",FALSE
"ardl_dir_rt","robust_swap",FALSE
"nardl_dir_rt","robust_swap",FALSE
"vecm","frozen_spec",FALSE
"ardl_rw","frozen_spec",FALSE
"nardl_rw","frozen_spec",FALSE
"ardl_dir","frozen_spec",FALSE
"nardl_dir","frozen_spec",FALSE
"ardl_cond","conditional",FALSE
"nardl_cond","conditional",FALSE
