Subsample,Model,RMSE,MAE,ME,MCS_p_MSE,In_MCS_MSE,MCS_p_MAE,In_MCS_MAE,n
Full sample,NARDL_rw,0.20691953786364667,0.14695295255289012,0.017133669976233085,1.0,True,0.5459,True,64
Full sample,ARDL_rw,0.20948248130138933,0.13865359843667371,0.020296380584429924,0.7685,True,1.0,True,64
Full sample,Ensemble_invmse,0.21325748600050723,0.13912466306811905,0.0190099283436978,,,,,64
Full sample,Ensemble_avg,0.21504532031887705,0.14014314324013688,0.01854376868833396,,,,,64
Full sample,VECM,0.2189231323424105,0.14858581098855023,0.029852002773598063,0.5416,True,0.5135,True,64
Full sample,GTVP,0.23640088740492451,0.1588796787084641,0.02821822833636739,0.5416,True,0.5459,True,64
Full sample,Chronos,0.24460408454094784,0.1568835185653126,0.009049692473610232,0.5416,True,0.5459,True,64
Full sample,AR,0.25681225178622963,0.17824418171242448,-0.015107961990199287,0.3195,True,0.1781,True,64
Full sample,ARRF,0.26534611121396023,0.18221344388481894,0.012463315762989785,0.3195,True,0.1332,True,64
Full sample,LSTM,0.2813907754522215,0.1996170771728481,0.01279309091111025,0.2632,True,0.0055,False,64
Full sample,RW,0.2826134208959966,0.20000442411589425,0.0062708832281683224,0.2457,True,0.0076,False,64
Full sample,TSLM_s,0.28703271968113314,0.23239273291428458,-0.0492256903481304,0.0144,False,0.0003,False,64
Full sample,TSLM,0.29749520250372774,0.242904993517977,-0.048385361248705294,0.0233,False,0.0003,False,64
Full sample,SNAIVE,0.30536000952993525,0.20301813798160914,0.023616437072742996,0.3195,True,0.1781,True,64
Excluding COVID (2020Q2-Q3),ARDL_rw,0.17623692216429043,0.12198771950664926,0.024484419441933573,1.0,True,1.0,True,62
Excluding COVID (2020Q2-Q3),Ensemble_invmse,0.17915825000739172,0.12208797177222729,0.023551605396134205,,,,,62
Excluding COVID (2020Q2-Q3),Ensemble_avg,0.18090493708086688,0.122985665382999,0.022915134493995966,,,,,62
Excluding COVID (2020Q2-Q3),NARDL_rw,0.18146027530064432,0.13370465939467785,0.024004825553619394,0.8241,True,0.3523,True,62
Excluding COVID (2020Q2-Q3),VECM,0.18176272337112342,0.13056087217864132,0.03390061303234278,0.8241,True,0.3899,True,62
Excluding COVID (2020Q2-Q3),Chronos,0.1951103893137527,0.13429847698487296,0.009276090003296784,0.8241,True,0.4112,True,62
Excluding COVID (2020Q2-Q3),GTVP,0.21433768971181638,0.14736571842175356,0.03923251378079289,0.3347,True,0.3523,True,62
Excluding COVID (2020Q2-Q3),AR,0.23111626817615732,0.16252744631081814,-0.012093650050054318,0.277,True,0.1447,True,62
Excluding COVID (2020Q2-Q3),ARRF,0.24339126848929288,0.1678173828764298,0.017612220287851813,0.277,True,0.1064,True,62
Excluding COVID (2020Q2-Q3),LSTM,0.24885255432373113,0.18081290845071607,0.01189525935813553,0.0773,False,0.001,False,62
Excluding COVID (2020Q2-Q3),RW,0.2500029745172325,0.18115848675553126,0.004622713886150142,0.0676,False,0.0014,False,62
Excluding COVID (2020Q2-Q3),TSLM_s,0.27171377355885146,0.2255310783177263,-0.03833629744377582,0.0033,False,0.0,False,62
Excluding COVID (2020Q2-Q3),TSLM,0.2870693220642994,0.23689351036041847,-0.0400997514420144,0.0075,False,0.0,False,62
Excluding COVID (2020Q2-Q3),SNAIVE,0.29032730698120146,0.19392410286014256,0.040021264937898364,0.277,True,0.1064,True,62
