date,actual,lstm,residual
2010-01-01,9.9646,9.7287,0.2359
2010-04-01,10.1238,9.9852,0.1386
2010-07-01,10.0168,10.1157,-0.0989
2010-10-01,9.6971,10.0041,-0.307
2011-01-01,9.958,9.6978,0.2602
2011-04-01,10.0601,9.9834,0.0767
2011-07-01,10.0715,10.0528,0.0187
2011-10-01,9.8843,10.0546,-0.1703
2012-01-01,9.9345,9.8786,0.0559
2012-04-01,9.8944,9.9471,-0.0527
2012-07-01,10.0092,9.89,0.1192
2012-10-01,9.7745,9.9949,-0.2203
2013-01-01,10.0146,9.7678,0.2467
2013-04-01,10.1819,10.0307,0.1511
2013-07-01,10.2531,10.1707,0.0824
2013-10-01,9.9841,10.2315,-0.2474
2014-01-01,10.3375,9.9622,0.3753
2014-04-01,10.3146,10.3375,-0.0229
2014-07-01,10.2826,10.2991,-0.0164
2014-10-01,9.9772,10.2631,-0.2859
2015-01-01,10.4232,9.9667,0.4565
2015-04-01,10.3238,10.4348,-0.1109
2015-07-01,10.3356,10.3102,0.0254
2015-10-01,10.1542,10.3115,-0.1573
2016-01-01,10.3255,10.14,0.1855
2016-04-01,10.419,10.3193,0.0997
2016-07-01,10.4877,10.4198,0.0678
2016-10-01,10.2506,10.4737,-0.2231
2017-01-01,10.4614,10.2459,0.2155
2017-04-01,10.4837,10.4709,0.0129
2017-07-01,10.4347,10.4776,-0.0429
2017-10-01,10.3291,10.4168,-0.0877
2018-01-01,10.4628,10.3207,0.1421
2018-04-01,10.4551,10.4728,-0.0178
2018-07-01,10.581,10.4526,0.1285
2018-10-01,10.2785,10.5681,-0.2896
2019-01-01,10.3704,10.2697,0.1006
2019-04-01,10.3682,10.3823,-0.0141
2019-07-01,10.4731,10.3676,0.1054
2019-10-01,10.085,10.4625,-0.3775
2020-01-01,10.2417,10.0775,0.1643
2020-04-01,9.5149,10.2568,-0.742
2020-07-01,10.3565,9.5333,0.8231
2020-10-01,10.2881,10.3388,-0.0508
2021-01-01,10.523,10.26,0.263
2021-04-01,10.5379,10.5069,0.0311
2021-07-01,10.5592,10.5101,0.0491
2021-10-01,10.2671,10.5455,-0.2784
2022-01-01,10.4821,10.263,0.2191
2022-04-01,10.756,10.4789,0.2771
2022-07-01,10.4719,10.7471,-0.2752
2022-10-01,10.1218,10.4453,-0.3235
2023-01-01,10.2695,10.0966,0.173
2023-04-01,10.891,10.2679,0.6231
2023-07-01,9.7717,10.8945,-1.1228
2023-10-01,9.4572,9.7439,-0.2867
2024-01-01,9.7468,9.4372,0.3096
2024-04-01,9.8357,9.7511,0.0847
2024-07-01,9.973,9.8253,0.1477
2024-10-01,9.8405,9.958,-0.1175
2025-01-01,9.997,9.8311,0.1659
2025-04-01,10.0588,9.997,0.0617
2025-07-01,10.038,10.0769,-0.0389
2025-10-01,10.1417,10.0377,0.104
