date,actual,lstm,residual
2010-01-01,9.9646,10.2059,-0.2414
2010-04-01,10.1238,10.2099,-0.0861
2010-07-01,10.0168,10.2255,-0.2087
2010-10-01,9.6971,10.2321,-0.5351
2011-01-01,9.958,10.2558,-0.2978
2011-04-01,10.0601,10.2562,-0.1961
2011-07-01,10.0715,10.2659,-0.1944
2011-10-01,9.8843,10.2582,-0.3739
2012-01-01,9.9345,10.2711,-0.3366
2012-04-01,9.8944,10.2709,-0.3764
2012-07-01,10.0092,10.2739,-0.2647
2012-10-01,9.7745,10.259,-0.4845
2013-01-01,10.0146,10.2715,-0.2569
2013-04-01,10.1819,10.2677,-0.0858
2013-07-01,10.2531,10.2784,-0.0253
2013-10-01,9.9841,10.2776,-0.2935
2014-01-01,10.3375,10.3034,0.0342
2014-04-01,10.3146,10.3119,0.0027
2014-07-01,10.2826,10.3368,-0.0542
2014-10-01,9.9772,10.3424,-0.3652
2015-01-01,10.4232,10.3633,0.0599
2015-04-01,10.3238,10.3577,-0.0338
2015-07-01,10.3356,10.3716,-0.036
2015-10-01,10.1542,10.3679,-0.2137
2016-01-01,10.3255,10.3826,-0.0571
2016-04-01,10.419,10.3847,0.0343
2016-07-01,10.4877,10.3842,0.1035
2016-10-01,10.2506,10.3778,-0.1272
2017-01-01,10.4614,10.3915,0.0698
2017-04-01,10.4837,10.3848,0.0989
2017-07-01,10.4347,10.3924,0.0423
2017-10-01,10.3291,10.3876,-0.0586
2018-01-01,10.4628,10.3975,0.0654
2018-04-01,10.4551,10.3871,0.068
2018-07-01,10.581,10.3938,0.1872
2018-10-01,10.2785,10.3847,-0.1062
2019-01-01,10.3704,10.3985,-0.0281
2019-04-01,10.3682,10.386,-0.0179
2019-07-01,10.4731,10.3866,0.0864
2019-10-01,10.085,10.375,-0.29
2020-01-01,10.2417,10.3858,-0.144
2020-04-01,9.5149,10.3676,-0.8528
2020-07-01,10.3565,10.3563,0.0002
2020-10-01,10.2881,10.3176,-0.0295
2021-01-01,10.523,10.3367,0.1863
2021-04-01,10.5379,10.3539,0.184
2021-07-01,10.5592,10.3859,0.1733
2021-10-01,10.2671,10.3927,-0.1256
2022-01-01,10.4821,10.4065,0.0755
2022-04-01,10.756,10.3976,0.3584
2022-07-01,10.4719,10.411,0.0609
2022-10-01,10.1218,10.4141,-0.2923
2023-01-01,10.2695,10.4239,-0.1544
2023-04-01,10.891,10.396,0.4949
2023-07-01,9.7717,10.3689,-0.5972
2023-10-01,9.4572,10.3594,-0.9022
2024-01-01,9.7468,10.3347,-0.5879
2024-04-01,9.8357,10.2978,-0.4621
2024-07-01,9.973,10.2863,-0.3133
2024-10-01,9.8405,10.2675,-0.4269
2025-01-01,9.997,10.2764,-0.2795
2025-04-01,10.0588,10.2833,-0.2246
2025-07-01,10.038,10.2874,-0.2494
2025-10-01,10.1417,10.2831,-0.1414
