"","(Intercept)","margin","r3"
"y_l1",0.0446533000237534,0.00465192229060858,0.00713036983958787
"y_l4",0.0536712423310565,0.0405667587749266,0.0254932190737322
"margin_l1",0.0149676694173316,0.0197800486166082,0.00621911605269301
"r3_l1",0.0345985956102984,0.0371645622605891,0.0315318539443994
"lrprc_l1",0.018093844905213,0.0157828194931755,0.021597713256617
"lrcc_l1",0.00191113702081198,0.0131786709990027,0.00790863791696439
"lvol_l1",0.0167834230146523,0.000438779023878174,0.005029047001456
"lstock_l1",0.0102536046651711,0.0708828321192113,0.000888332554099417
"trend",0.0394376685539765,0.181203167427529,0.0184869019081673
"qtr",0.00316325898883603,0.00495127480760919,0.0102745548470165
