Spec,Fold,Train_N,Test_N,RMSE,MAE,MAPE,R2,RW_RMSE,Skill_vs_RW,SD_in_fold
Spec1_NoDummy,1,97,19,0.1235,0.1075,1.02,-0.4076,0.128,0.0353,0.1041
Spec1_NoDummy,2,116,19,0.2731,0.2087,2.1,0.554,0.2132,-0.2808,0.4089
Spec1_NoDummy,3,135,19,0.2048,0.1605,1.59,-0.2001,0.2023,-0.0123,0.1869
Spec1_NoDummy,4,154,19,0.2217,0.1249,1.24,0.0435,0.2338,0.0518,0.2267
Spec1_NoDummy,5,173,22,0.3593,0.2644,2.59,-0.0595,0.3757,0.0439,0.349
Spec3_SeasonalDummy,1,97,19,0.1172,0.0938,0.89,-0.2696,0.128,0.0839,0.1041
Spec3_SeasonalDummy,2,116,19,0.2315,0.1785,1.8,0.6794,0.2132,-0.0859,0.4089
Spec3_SeasonalDummy,3,135,19,0.2054,0.1608,1.59,-0.2069,0.2023,-0.0152,0.1869
Spec3_SeasonalDummy,4,154,19,0.2209,0.1213,1.21,0.0504,0.2338,0.0553,0.2267
Spec3_SeasonalDummy,5,173,22,0.3449,0.2268,2.22,0.0237,0.3757,0.0822,0.349
