Spec,Metric,Mean,SD
Spec1_NoDummy,RMSE,0.3245,0.1516
Spec1_NoDummy,MAE,0.2652,0.1142
Spec1_NoDummy,MAPE,2.638,1.2147
Spec1_NoDummy,R2,-0.9533,1.0342
Spec2_CrisisDummy,RMSE,0.328,0.1752
Spec2_CrisisDummy,MAE,0.2654,0.1348
Spec2_CrisisDummy,MAPE,2.64,1.4196
Spec2_CrisisDummy,R2,-0.8074,0.6564
Spec3_SeasonalDummy,RMSE,0.3155,0.1276
Spec3_SeasonalDummy,MAE,0.2531,0.0935
Spec3_SeasonalDummy,MAPE,2.51,1.0092
Spec3_SeasonalDummy,R2,-1.0383,1.3156
Spec4_CrisisSeasonal,RMSE,0.3351,0.1184
Spec4_CrisisSeasonal,MAE,0.2763,0.0919
Spec4_CrisisSeasonal,MAPE,2.734,0.9953
Spec4_CrisisSeasonal,R2,-1.5183,1.8566
