date,actual,lstm,residual
2010-01-01,9.9646,10.1733,-0.2087
2010-04-01,10.1238,10.1678,-0.0439
2010-07-01,10.0168,10.1773,-0.1605
2010-10-01,9.6971,10.1905,-0.4934
2011-01-01,9.958,10.1977,-0.2397
2011-04-01,10.0601,10.2061,-0.146
2011-07-01,10.0715,10.2141,-0.1426
2011-10-01,9.8843,10.2185,-0.3342
2012-01-01,9.9345,10.2162,-0.2817
2012-04-01,9.8944,10.2172,-0.3227
2012-07-01,10.0092,10.2145,-0.2053
2012-10-01,9.7745,10.2165,-0.442
2013-01-01,10.0146,10.216,-0.2014
2013-04-01,10.1819,10.2185,-0.0366
2013-07-01,10.2531,10.2278,0.0253
2013-10-01,9.9841,10.2399,-0.2557
2014-01-01,10.3375,10.2481,0.0894
2014-04-01,10.3146,10.2649,0.0497
2014-07-01,10.2826,10.2857,-0.0031
2014-10-01,9.9772,10.3037,-0.3265
2015-01-01,10.4232,10.3091,0.1141
2015-04-01,10.3238,10.3226,0.0013
2015-07-01,10.3356,10.3308,0.0048
2015-10-01,10.1542,10.34,-0.1857
2016-01-01,10.3255,10.3415,-0.016
2016-04-01,10.419,10.3497,0.0693
2016-07-01,10.4877,10.3453,0.1423
2016-10-01,10.2506,10.3548,-0.1042
2017-01-01,10.4614,10.3543,0.1071
2017-04-01,10.4837,10.3563,0.1274
2017-07-01,10.4347,10.3616,0.0731
2017-10-01,10.3291,10.3653,-0.0362
2018-01-01,10.4628,10.3669,0.0959
2018-04-01,10.4551,10.363,0.0921
2018-07-01,10.581,10.3673,0.2137
2018-10-01,10.2785,10.3753,-0.0969
2019-01-01,10.3704,10.3723,-0.0019
2019-04-01,10.3682,10.3649,0.0032
2019-07-01,10.4731,10.3611,0.1119
2019-10-01,10.085,10.3649,-0.2799
2020-01-01,10.2417,10.3533,-0.1115
2020-04-01,9.5149,10.3437,-0.8288
2020-07-01,10.3565,10.3049,0.0515
2020-10-01,10.2881,10.3012,-0.0131
2021-01-01,10.523,10.3037,0.2193
2021-04-01,10.5379,10.3255,0.2124
2021-07-01,10.5592,10.3498,0.2094
2021-10-01,10.2671,10.3599,-0.0928
2022-01-01,10.4821,10.3575,0.1246
2022-04-01,10.756,10.371,0.385
2022-07-01,10.4719,10.4108,0.0611
2022-10-01,10.1218,10.4177,-0.2959
2023-01-01,10.2695,10.4058,-0.1363
2023-04-01,10.891,10.3847,0.5063
2023-07-01,9.7717,10.3839,-0.6122
2023-10-01,9.4572,10.3487,-0.8915
2024-01-01,9.7468,10.3225,-0.5756
2024-04-01,9.8357,10.2995,-0.4638
2024-07-01,9.973,10.2806,-0.3075
2024-10-01,9.8405,10.2712,-0.4307
2025-01-01,9.997,10.2647,-0.2677
2025-04-01,10.0588,10.2706,-0.2118
2025-07-01,10.038,10.2602,-0.2222
2025-10-01,10.1417,10.2703,-0.1286
