date,actual,lstm,residual
2010-01-01,9.9646,10.3301,-0.3655
2010-04-01,10.1238,10.35,-0.2262
2010-07-01,10.0168,10.3432,-0.3264
2010-10-01,9.6971,10.3456,-0.6486
2011-01-01,9.958,10.3555,-0.3975
2011-04-01,10.0601,10.3743,-0.3142
2011-07-01,10.0715,10.3709,-0.2994
2011-10-01,9.8843,10.3627,-0.4784
2012-01-01,9.9345,10.3626,-0.4281
2012-04-01,9.8944,10.3714,-0.4769
2012-07-01,10.0092,10.3699,-0.3607
2012-10-01,9.7745,10.3616,-0.5871
2013-01-01,10.0146,10.3625,-0.348
2013-04-01,10.1819,10.3726,-0.1907
2013-07-01,10.2531,10.366,-0.1129
2013-10-01,9.9841,10.3611,-0.3769
2014-01-01,10.3375,10.3626,-0.025
2014-04-01,10.3146,10.3766,-0.062
2014-07-01,10.2826,10.3891,-0.1064
2014-10-01,9.9772,10.3992,-0.422
2015-01-01,10.4232,10.4078,0.0154
2015-04-01,10.3238,10.4279,-0.104
2015-07-01,10.3356,10.4338,-0.0982
2015-10-01,10.1542,10.4349,-0.2807
2016-01-01,10.3255,10.4362,-0.1107
2016-04-01,10.419,10.4415,-0.0225
2016-07-01,10.4877,10.4504,0.0373
2016-10-01,10.2506,10.4535,-0.2029
2017-01-01,10.4614,10.4561,0.0053
2017-04-01,10.4837,10.4642,0.0195
2017-07-01,10.4347,10.4671,-0.0324
2017-10-01,10.3291,10.4661,-0.137
2018-01-01,10.4628,10.4652,-0.0024
2018-04-01,10.4551,10.4688,-0.0137
2018-07-01,10.581,10.471,0.11
2018-10-01,10.2785,10.4724,-0.1939
2019-01-01,10.3704,10.468,-0.0976
2019-04-01,10.3682,10.4696,-0.1014
2019-07-01,10.4731,10.4648,0.0082
2019-10-01,10.085,10.4615,-0.3765
2020-01-01,10.2417,10.4514,-0.2097
2020-04-01,9.5149,10.4562,-0.9414
2020-07-01,10.3565,10.4611,-0.1047
2020-10-01,10.2881,10.4368,-0.1488
2021-01-01,10.523,10.4248,0.0982
2021-04-01,10.5379,10.4235,0.1145
2021-07-01,10.5592,10.4327,0.1265
2021-10-01,10.2671,10.4459,-0.1788
2022-01-01,10.4821,10.4539,0.0282
2022-04-01,10.756,10.4653,0.2907
2022-07-01,10.4719,10.4958,-0.0238
2022-10-01,10.1218,10.4974,-0.3756
2023-01-01,10.2695,10.4642,-0.1947
2023-04-01,10.891,10.4435,0.4475
2023-07-01,9.7717,10.438,-0.6664
2023-10-01,9.4572,10.4048,-0.9476
2024-01-01,9.7468,10.3801,-0.6333
2024-04-01,9.8357,10.3623,-0.5266
2024-07-01,9.973,10.3397,-0.3667
2024-10-01,9.8405,10.3181,-0.4776
2025-01-01,9.997,10.3116,-0.3146
2025-04-01,10.0588,10.3086,-0.2498
2025-07-01,10.038,10.3265,-0.2885
2025-10-01,10.1417,10.3305,-0.1888
