date,actual,lstm,residual
2010-01-01,9.9646,10.1716,-0.2071
2010-04-01,10.1238,10.2225,-0.0987
2010-07-01,10.0168,10.1909,-0.1741
2010-10-01,9.6971,10.1888,-0.4917
2011-01-01,9.958,10.208,-0.25
2011-04-01,10.0601,10.2607,-0.2007
2011-07-01,10.0715,10.2288,-0.1573
2011-10-01,9.8843,10.2149,-0.3306
2012-01-01,9.9345,10.2229,-0.2884
2012-04-01,9.8944,10.2602,-0.3658
2012-07-01,10.0092,10.2264,-0.2172
2012-10-01,9.7745,10.2146,-0.4401
2013-01-01,10.0146,10.2217,-0.2071
2013-04-01,10.1819,10.2647,-0.0828
2013-07-01,10.2531,10.2345,0.0186
2013-10-01,9.9841,10.2281,-0.244
2014-01-01,10.3375,10.2391,0.0984
2014-04-01,10.3146,10.2934,0.0212
2014-07-01,10.2826,10.2807,0.0019
2014-10-01,9.9772,10.2843,-0.3071
2015-01-01,10.4232,10.2998,0.1234
2015-04-01,10.3238,10.356,-0.0321
2015-07-01,10.3356,10.3314,0.0042
2015-10-01,10.1542,10.3219,-0.1676
2016-01-01,10.3255,10.3298,-0.0043
2016-04-01,10.419,10.3599,0.0591
2016-07-01,10.4877,10.3514,0.1363
2016-10-01,10.2506,10.3433,-0.0926
2017-01-01,10.4614,10.3524,0.109
2017-04-01,10.4837,10.3877,0.096
2017-07-01,10.4347,10.3656,0.0692
2017-10-01,10.3291,10.354,-0.0249
2018-01-01,10.4628,10.3619,0.1009
2018-04-01,10.4551,10.3939,0.0612
2018-07-01,10.581,10.372,0.2091
2018-10-01,10.2785,10.3664,-0.088
2019-01-01,10.3704,10.3702,0.0002
2019-04-01,10.3682,10.398,-0.0299
2019-07-01,10.4731,10.3665,0.1066
2019-10-01,10.085,10.356,-0.271
2020-01-01,10.2417,10.3496,-0.1079
2020-04-01,9.5149,10.376,-0.8611
2020-07-01,10.3565,10.3289,0.0276
2020-10-01,10.2881,10.3047,-0.0166
2021-01-01,10.523,10.2977,0.2253
2021-04-01,10.5379,10.3287,0.2093
2021-07-01,10.5592,10.3201,0.2391
2021-10-01,10.2671,10.3386,-0.0715
2022-01-01,10.4821,10.3611,0.121
2022-04-01,10.756,10.3965,0.3595
2022-07-01,10.4719,10.4103,0.0616
2022-10-01,10.1218,10.4081,-0.2863
2023-01-01,10.2695,10.4012,-0.1316
2023-04-01,10.891,10.4167,0.4743
2023-07-01,9.7717,10.4044,-0.6327
2023-10-01,9.4572,10.354,-0.8968
2024-01-01,9.7468,10.312,-0.5651
2024-04-01,9.8357,10.3109,-0.4752
2024-07-01,9.973,10.2565,-0.2835
2024-10-01,9.8405,10.2429,-0.4023
2025-01-01,9.997,10.2425,-0.2455
2025-04-01,10.0588,10.2654,-0.2067
2025-07-01,10.038,10.2624,-0.2244
2025-10-01,10.1417,10.26,-0.1182
