K,n,adj_r2,aic,bic,lb4_p,lb8_p,cum_coef,cum_se,cum_p,joint_F,joint_p
0,175,0.482510658372323,3532.9357339726807,3558.254021764069,7.017103261762644e-49,2.699508792844916e-57,1.6612970819886625,0.2836411541039729,4.71194701095854e-09,34.30489677813818,2.4403025422851313e-08
1,175,0.49388672161782365,3529.9947072270716,3558.477780992383,2.2696042985158e-45,9.174263188064686e-55,1.6154210782303107,0.2632698858853056,8.46311054767476e-10,22.626517762072922,2.0432701227584375e-09
2,175,0.5349945501975738,3516.1128091172286,3547.760668856464,1.4090883172564246e-45,7.345752097129401e-57,1.5251193854257372,0.23901004243800436,1.7595307375574409e-10,25.94998727865814,8.376386787376602e-14
3,175,0.5459871047111629,3512.862359324808,3547.675005037967,5.458572829990051e-45,2.2035302074951124e-57,1.4723931508425898,0.23750910129841757,5.671031679528383e-10,21.652595064215095,2.3265827965119283e-14
4,175,0.5564111060578665,3509.7272276777976,3547.7046593648797,8.04282625529483e-46,2.002999360533332e-58,1.4262311732301225,0.23945771133530772,2.5834743973548225e-09,18.444689715670457,1.7101469219535034e-14
5,175,0.5537711906905485,3511.6886859029983,3552.830903564004,5.7112358644190286e-46,9.192969965441937e-59,1.431790541062969,0.23822344323495143,1.8519864737381604e-09,15.848235725358577,2.7535376640699503e-14
6,175,0.5515180794438752,3513.486482800797,3557.793486435726,1.0038788237273463e-45,4.580606208862326e-58,1.4184927923917088,0.24161862607995185,4.337171124688003e-09,13.593335726588615,9.525964498296194e-14
7,175,0.5531254569300958,3513.7678027995607,3561.2395924084135,9.655309219614167e-46,1.116504485514455e-57,1.387660990222987,0.2424697693263418,1.046427447403469e-08,11.679391461281702,5.143015216555444e-13
8,175,0.5516360584432582,3515.25291223584,3565.8894878186165,1.7279271520853773e-45,2.929130340767086e-57,1.3706684825893936,0.24533090983727363,2.3100030805701003e-08,10.422313981500917,1.3919204319555306e-12
9,175,0.548971554215274,3517.1857067839037,3570.9870683406034,2.9344047190767665e-45,6.276781457190316e-57,1.3639514030373228,0.24259871428083377,1.8848270789551082e-08,10.008571766158633,6.579075184029707e-13
10,175,0.548074272424374,3518.422393345185,3575.3885408758083,1.2107278078485802e-44,5.518277416525614e-56,1.3396834955834214,0.2401281203752818,2.418547968690742e-08,9.192815407586904,1.3575179586957326e-12
11,175,0.5501389047143626,3518.502855631494,3578.633789136041,9.580929673462471e-45,1.10853414543805e-55,1.3009975047113496,0.24216539582313584,7.771664452784101e-08,9.767288274435236,4.786347860767634e-14
12,175,0.5514561670980612,3518.864271244398,3582.1599907228683,6.533485930116701e-45,2.146542764589893e-55,1.264730068169201,0.2486371253504496,3.644432316102336e-07,8.938942242237534,1.648063909133485e-13
