k,mean_ratio,median_ratio,p25,p75,n,ccf_detrended,ccf_share_of_k0
0,2.6611530556355834,2.6362003592097385,2.210749467392488,3.0546337893150444,187,0.530972884013586,1.0
1,2.661784953877945,2.6763387989621163,2.170758689857817,3.0605655093921023,186,0.45681073071665595,0.860327795392594
2,2.657761529552394,2.699729180771835,2.2020644354081953,3.147149053210621,185,0.36615232974245243,0.6895876244653648
3,2.6497767176143068,2.694256643476775,2.273475034969288,3.063999747085216,184,0.3033266688361977,0.5712658366720597
4,2.653359747053634,2.689594356261023,2.2222603598697988,3.0817304985258094,183,0.2471128963115199,0.46539645196871676
5,2.6542628298607234,2.6965573051458183,2.2192931868497836,3.1409731752354273,182,0.20823708100994257,0.3921802549235535
6,2.65280964458078,2.7063191275427334,2.150974872276092,3.163972286374134,181,0.1549119041120782,0.29175106446323623
7,2.650426941757849,2.7347938182979554,2.2263854159423966,3.1690273136242975,180,0.1137874708364658,0.21429996570889734
8,2.6536396080761513,2.6861943687556766,2.1815973148023255,3.100243597926229,179,0.07243802302568092,0.13642508912720192
9,2.6548919507567295,2.6904626664993048,2.2298111306786836,3.1720144932949834,178,0.041961393072129566,0.07902737472193759
10,2.6511921590807224,2.7123187522846353,2.2113131763918332,3.166023166023166,177,-0.007134359585933911,-0.013436391576168254
11,2.6495890068245824,2.684135269017549,2.211783953376579,3.1671921939075416,176,-0.0659333951603891,-0.12417469355874312
12,2.6526230336953533,2.69045793545689,2.208246362460276,3.1802116307213066,175,-0.10804409843302448,-0.2034832694587469
