,coef,hac_se,t,p
const,5070.524367911654,1536.964149018507,3.299051816628026,0.0009701200227008812
granted_l0,2.146972651978055,0.5138688895901538,4.1780553278685835,2.940121430897799e-05
granted_l1,0.5883440252138568,0.8659072710125073,0.6794538455900766,0.496850342338953
granted_l2,-2.51157692914664,0.5697933729099346,-4.407873184484433,1.0439063416705768e-05
granted_l3,0.39617574183512616,0.7067195285895862,0.5605841154917308,0.5750810826191076
granted_l4,-0.3908042002640503,0.2863423060578141,-1.364814740945562,0.17231128450539857
starts_l1,0.46386780636614816,0.1568689779608302,2.9570397690866246,0.0031060805360386455
starts_l2,0.12473557616838361,0.06934030243006524,1.7988899932213096,0.07203608382448451
starts_l3,0.0037882399497838407,0.06542004861963083,0.0579064068235359,0.9538231797806761
starts_l4,0.16634657263677055,0.11749169333143143,1.415815602959477,0.15682950005684526
sd1,7382.712892768388,1162.268080300867,6.351987994763896,2.1254991547090577e-10
sd2,7792.515252408835,1304.8878013412677,5.97178948596122,2.346652118845061e-09
sd3,3189.9115253996383,1010.7686829743365,3.1559263549923724,0.0015998925055342892
d08Q3,-11193.82639565761,1576.8022092921863,-7.099068183499329,1.2560083669608222e-12
d20Q2,-13989.623204066535,1265.0351058851097,-11.058683778011352,1.9899621467140943e-28
d20Q3,11087.121113832121,2026.6664110998584,5.470619660497168,4.484647925342548e-08
