k,coef,hac_t,p,adj_r2
0,1.6612970819886625,5.857038225770613,4.71194701095854e-09,0.482510658372323
1,1.5685058511357737,4.82529964048081,1.3979293659943524e-06,0.4417679739799061
2,1.40072169207305,3.798217822785713,0.00014574022120393687,0.37809871925275695
3,1.282827796750648,3.082019059654358,0.0020560167245722845,0.3368288573114032
4,1.1304481722502342,2.562357102494702,0.010396436039672035,0.29361818581716226
5,1.0545640731106387,2.26434069318082,0.02355316857682279,0.2723273678010877
6,0.9388020451886534,1.985016508518117,0.04714263482442205,0.24384027990909807
7,0.840050597035426,1.7602329833898755,0.07836831170524909,0.2227964170319413
8,0.7898891797144516,1.6519743044018256,0.09853978915064353,0.21315683140041564
9,0.7320211315376304,1.5626803701969134,0.11812779378176703,0.20278052306085292
10,0.6348370104967365,1.3982921978355036,0.16202533985654366,0.187394187951598
11,0.5202186173487319,1.1805329508528353,0.2377883130199112,0.17248945069591026
12,0.43376071318550213,0.9948413728581819,0.31981342051634787,0.1634208832706472
