,,,,,,,,,,
,Variable name,,House building,Nominal house price,Nominal construction cost,Transactions,Private housing stock,Interest rate,House price (income) deflator,Construction cost deflator
,Variable description,,"Private enterprise starts, # homes","Nominal house prices, £","Nominal construction cost, index","Sales, # homes","Owner-occupied + privated rented, # homes","BOE official base rate, %","Nominal disposable income / real disposable  income, index","GDP deflator, index"
,Variable geography,,Great Britain,United Kingdom,Great Britain,England & Wales,Great Britain,United Kingdom,United Kingdom,United Kingdom
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,1975,Q1," 28,800 "," 8,456 ",10.30," 193,500 "," 13,573 ",10.78,11.87,9.90
,,Q2," 41,600 "," 8,680 ",11.20," 226,500 "," 13,587 ",9.96,12.52,10.56
,,Q3," 41,400 "," 8,942 ",11.70," 236,250 "," 13,608 ",10.71,13.02,11.01
,,Q4," 37,400 "," 9,036 ",11.50," 224,250 "," 13,628 ",11.73,13.69,11.50
,1976,Q1," 37,200 "," 9,223 ",11.40," 201,750 "," 13,647 ",9.87,14.23,11.88
,,Q2," 46,500 "," 9,466 ",12.40," 222,750 "," 13,672 ",10.51,14.58,12.22
,,Q3," 42,800 "," 9,691 ",12.80," 237,000 "," 13,703 ",11.79,14.98,12.51
,,Q4," 28,100 "," 9,840 ",12.70," 231,000 "," 13,732 ",14.72,15.75,13.01
,1977,Q1," 26,200 "," 9,915 ",12.30," 196,500 "," 13,751 ",12.33,16.48,13.48
,,Q2," 38,100 "," 10,065 ",13.50," 225,750 "," 13,726 ",8.44,17.03,14.01
,,Q3," 39,100 "," 10,364 ",14.10," 249,750 "," 13,690 ",7.28,17.34,14.30
,,Q4," 31,400 "," 10,682 ",14.10," 257,250 "," 13,653 ",5.88,17.64,14.70
,1978,Q1," 30,390 "," 10,925 ",13.60," 248,250 "," 13,623 ",6.54,18.22,15.25
,,Q2," 46,510 "," 11,449 ",15.20," 263,250 "," 13,650 ",8.50,18.58,15.68
,,Q3," 41,310 "," 12,254 ",16.30," 261,750 "," 13,692 ",10.00,18.93,15.90
,,Q4," 39,100 "," 13,114 ",16.60," 250,500 "," 13,730 ",11.44,19.56,16.33
,1979,Q1," 23,320 "," 13,806 ",16.20," 229,500 "," 13,765 ",13.02,20.15,16.90
,,Q2," 40,050 "," 14,873 ",18.20," 235,500 "," 13,788 ",12.44,20.57,17.32
,,Q3," 41,250 "," 16,014 ",20.10," 258,750 "," 13,827 ",14.00,21.96,18.63
,,Q4," 39,390 "," 17,080 ",20.60," 255,750 "," 13,867 ",15.53,22.92,19.43
,1980,Q1," 24,530 "," 17,754 ",20.10," 234,000 "," 13,905 ",17.00,23.85,20.37
,,Q2," 29,440 "," 18,464 ",23.00," 246,000 "," 13,936 ",17.00,24.71,21.32
,,Q3," 23,370 "," 19,213 ",24.50," 231,000 "," 13,973 ",16.02,25.28,22.12
,,Q4," 20,670 "," 19,250 ",24.50," 239,250 "," 14,002 ",15.20,26.36,23.08
,1981,Q1," 26,290 "," 19,288 ",23.10," 216,000 "," 14,028 ",13.53,27.09,23.70
,,Q2," 32,240 "," 19,811 ",25.30," 246,000 "," 14,073 ",12.00,27.78,24.12
,,Q3," 32,080 "," 20,129 ",25.50," 263,250 "," 14,128 ",12.51,28.40,24.52
,,Q4," 24,520 "," 19,737 ",24.50," 288,000 "," 14,182 ",14.60,29.35,25.25
,1982,Q1," 31,770 "," 19,250 ",23.20," 240,000 "," 14,224 ",13.80,30.10,25.83
,,Q2," 38,120 "," 20,092 ",25.20," 276,000 "," 14,300 ",13.02,30.48,26.06
,,Q3," 38,000 "," 20,597 ",25.30," 318,000 "," 14,391 ",11.36,30.83,26.48
,,Q4," 32,140 "," 20,896 ",24.80," 321,750 "," 14,481 ",9.70,31.52,27.03
,1983,Q1," 39,890 "," 21,514 ",25.60," 302,250 "," 14,558 ",10.79,32.05,27.49
