fiscal_year,new_build_comp,net_conversions,net_change_of_use,net_other_gains,demolitions,total_net_additions,year
2006-07,193080,7600,20150,460,22290,214936,2006
2007-08,200300,9020,17640,1020,20500,223534,2007
2008-09,157630,8640,16640,270,16590,182767,2008
2009-10,124198,6231,13605,967,16325,144870,2009
2010-11,117695,5047,11535,1809,14888,137394,2010
2011-12,128159,5242,12587,1103,12195,140785,2011
2012-13,118536,4095,12778,1369,12056,130611,2012
2013-14,130344,4472,12523,1330,12064,142494,2013
2014-15,155078,4945,20650,631,10611,176582,2014
2015-16,163939,4755,30598,777,10424,195534,2015
2016-17,183571,5680,37189,723,9818,223234,2016
2017-18,195387,4547,29726,680,8059,228170,2017
2018-19,214413,5162,29295,968,7961,247766,2018
2019-20,219120,4344,26713,857,8332,248591,2019
2020-21,191819,3410,21471,643,5478,217754,2020
2021-22,211665,4855,22905,766,5729,234462,2021
2022-23,212364,4504,22281,710,5567,234292,2022
2023-24,198681,4366,21616,2097,5351,221409,2023
2024-25,190602,3846,17708,1076,4632,208600,2024
