year,quarter,starts
1975,1,24365.0
1975,2,35194.0
1975,3,35024.0
1975,4,31640.0
1976,1,31471.0
1976,2,39339.0
1976,3,36209.0
1976,4,23773.0
1977,1,22165.0
1977,2,32233.0
1977,3,33079.0
1977,4,26564.0
1978,1,25880.0
1978,2,39760.0
1978,3,34490.0
1978,4,33450.0
1979,1,19060.0
1979,2,33300.0
1979,3,34260.0
1979,4,34510.0
1980,1,20470.0
1980,2,25210.0
1980,3,20120.0
1980,4,17500.0
1981,1,22790.0
1981,2,27720.0
1981,3,27830.0
1981,4,21270.0
1982,1,27730.0
1982,2,33340.0
1982,3,33340.0
1982,4,28050.0
1983,1,34450.0
1983,2,41890.0
1983,3,38600.0
1983,4,32900.0
1984,1,31910.0
1984,2,37980.0
1984,3,34830.0
1984,4,28690.0
1985,1,28470.0
1985,2,39720.0
1985,3,39110.0
1985,4,33810.0
1986,1,30860.0
1986,2,44470.0
1986,3,43910.0
1986,4,34750.0
1987,1,39030.0
1987,2,44760.0
1987,3,47370.0
1987,4,40040.0
1988,1,45040.0
1988,2,54280.0
1988,3,49640.0
1988,4,44520.0
1989,1,40220.0
1989,2,41780.0
1989,3,33390.0
1989,4,26070.0
1990,1,29470.0
1990,2,30440.0
1990,3,28310.0
1990,4,24510.0
1991,1,25700.0
1991,2,32500.0
1991,3,31460.0
1991,4,24650.0
1992,1,26940.0
1992,2,28910.0
1992,3,24510.0
1992,4,19230.0
1993,1,29110.0
1993,2,31560.0
1993,3,30130.0
1993,4,25660.0
1994,1,32590.0
1994,2,36980.0
1994,3,33470.0
1994,4,28360.0
1995,1,29220.0
1995,2,33040.0
1995,3,27280.0
1995,4,20870.0
1996,1,26960.0
1996,2,31590.0
1996,3,33100.0
1996,4,29940.0
1997,1,35320.0
1997,2,35360.0
1997,3,34340.0
1997,4,31060.0
1998,1,35530.0
1998,2,34770.0
1998,3,34240.0
1998,4,27270.0
1999,1,32760.0
1999,2,34240.0
1999,3,33540.0
1999,4,29750.0
2000,1,35210.0
2000,2,34970.0
2000,3,32830.0
2000,4,25460.0
2001,1,33020.0
2001,2,35720.0
2001,3,35390.0
2001,4,29190.0
2002,1,35070.0
2002,2,34840.0
2002,3,36650.0
2002,4,29410.0
2003,1,37790.0
2003,2,37580.0
2003,3,36540.0
2003,4,33480.0
2004,1,38210.0
2004,2,43020.0
2004,3,41310.0
2004,4,34610.0
2005,1,35380.0
2005,2,40820.0
2005,3,39940.0
2005,4,36660.0
2006,1,42900.0
2006,2,38900.0
2006,3,36420.0
2006,4,30990.0
2007,1,43040.0
2007,2,41470.0
2007,3,40440.0
2007,4,34950.0
2008,1,29290.0
2008,2,25400.0
2008,3,15670.0
2008,4,12010.0
2009,1,12490.0
2009,2,15360.0
2009,3,20160.0
2009,4,16990.0
2010,1,21260.0
2010,2,24930.0
2010,3,22400.0
2010,4,16270.0
2011,1,21120.0
2011,2,23390.0
2011,3,23660.0
2011,4,19620.0
2012,1,20630.0
2012,2,19820.0
2012,3,22230.0
2012,4,17580.0
2013,1,22350.0
2013,2,26420.0
2013,3,28370.0
2013,4,21680.0
2014,1,30870.0
2014,2,30170.0
2014,3,29220.0
2014,4,21530.0
2015,1,33630.0
2015,2,30450.0
2015,3,30810.0
2015,4,25700.0
2016,1,30500.0
2016,2,33490.0
2016,3,35870.0
2016,4,28300.0
2017,1,34940.0
2017,2,35730.0
2017,3,34020.0
2017,4,30610.0
2018,1,34990.0
2018,2,34720.0
2018,3,39380.0
2018,4,29100.0
2019,1,31900.0
2019,2,31830.0
2019,3,35350.0
2019,4,23980.0
2020,1,28050.0
2020,2,13560.0
2020,3,31460.0
2020,4,29380.0
2021,1,37160.0
2021,2,37720.0
2021,3,38530.0
2021,4,28770.0
2022,1,35670.0
2022,2,46910.0
2022,3,35310.0
2022,4,24880.0
2023,1,28840.0
2023,2,53690.0
2023,3,17530.0
2023,4,12800.0
2024,1,17100.0
2024,2,18690.0
2024,3,21440.0
2024,4,18780.0
2025,1,21960.0
2025,2,23360.0
2025,3,22880.0
2025,4,25380.0
