year,quarter,stock
1969,4,12688.25
1970,1,12706.553719008263
1970,2,12728.559917355373
1970,3,12753.661157024793
1970,4,12781.25
1971,1,12813.274408451398
1971,2,12850.43492391447
1971,3,12890.252977420307
1971,4,12930.25
1972,1,12970.96252282063
1972,2,13013.389743394695
1972,3,13055.747092271413
1972,4,13096.25
1973,1,13136.367967252398
1973,2,13176.500415335464
1973,3,13213.2576557508
1973,4,13243.25
1974,1,13266.209967105262
1974,2,13285.496578947368
1974,3,13303.15990131579
1974,4,13321.25
1975,1,13339.439227897694
1975,2,13356.934432288588
1975,3,13375.087420535187
1975,4,13395.25
1976,1,13423.045247494687
1976,2,13456.419349124406
1976,3,13485.208776191923
1976,4,13499.25
1977,1,13501.860219594595
1977,2,13503.51463963964
1977,3,13504.786739864865
1977,4,13506.25
1978,1,13507.703125
1978,2,13508.958333333332
1978,3,13510.609375
1978,4,13513.25
1979,1,13530.861692015209
1979,2,13568.547845373889
1979,3,13613.585076045627
1979,4,13653.25
1980,1,13683.798642606409
1980,2,13712.225404364875
1980,3,13741.914463940904
1980,4,13776.25
1981,1,13816.550377062757
1981,2,13862.26417164488
1981,3,13913.970880404566
1981,4,13972.25
1982,1,14044.282322057996
1982,2,14130.411034921952
1982,3,14220.95923032493
1982,4,14306.25
1983,1,14384.68476161317
1983,2,14461.222943579656
1983,3,14536.024653756314
1983,4,14609.25
1984,1,14680.768775682593
1984,2,14750.642868257426
1984,3,14819.320526703546
1984,4,14887.25
1985,1,14954.024246846946
1985,2,15019.609861210552
1985,3,15085.015544968883
1985,4,15151.25
1986,1,15215.781377204885
1986,2,15279.01526458616
1986,3,15346.366519674355
1986,4,15423.25
1987,1,15518.374779881136
1987,2,15629.461534228483
1987,3,15745.44252146159
1987,4,15855.25
1988,1,15956.15939346857
1988,2,16054.143572251938
1988,3,16151.18096490934
1988,4,16249.25
1989,1,16350.879375307873
1989,2,16454.350668327297
1989,3,16555.27162718307
1989,4,16649.25
1990,1,16727.080447899338
1990,2,16794.504865225783
1990,3,16869.551849939337
1990,4,16970.25
1991,1,17146.502936122342
1991,2,17240.206909826094
1991,3,17310.1871051126
1991,4,17368.159627962363
1992,1,17425.838785916996
1992,2,17483.665824052307
1992,3,17537.028005355187
1992,4,17589.280054893297
1993,1,17643.776342736688
1993,2,17701.274814546214
1993,3,17760.090951500028
1993,4,17819.76153224394
1994,1,17879.823596608578
1994,2,17941.046521757387
1994,3,18003.357949496978
1994,4,18065.14517120216
1995,1,18124.795505006503
1995,2,18181.380145174135
1995,3,18236.054455155434
1995,4,18290.343874461014
1996,1,18345.77359605189
1996,2,18402.337642424263
1996,3,18459.39269940003
1996,4,18517.40122249093
1997,1,18576.82588236367
1997,2,18638.866880174948
1997,3,18702.950431966437
1997,4,18766.97104432302
1998,1,18828.823314425044
1998,2,18887.512973863057
1998,3,18944.4148518562
1998,4,19001.016711704942
1999,1,19058.80632706539
1999,2,19118.806698781995
1999,3,19180.008260781236
1999,4,19240.854129488227
2000,1,19299.787476255944
2000,2,19356.027104567038
2000,3,19410.625025950703
2000,4,19464.798240397216
2001,1,19519.763141382613
2001,2,19573.83345880461
2001,3,19627.11809382143
2001,4,19683.264107395382
2002,1,19745.919217802955
2002,2,19820.479467095203
2002,3,19904.956098482682
2002,4,19992.202907672865
2003,1,20075.07441247531
2003,2,20151.862248644997
2003,3,20226.432384065745
2003,4,20300.313957866958
2004,1,20375.03621077139
2004,2,20452.019835511095
2004,3,20530.06988855642
2004,4,20606.835731339397
2005,1,20679.966744260397
2005,2,20748.048008214766
2005,3,20812.897112963394
2005,4,20877.0208617739
2006,1,20942.925844058413
2006,2,21011.38730505642
2006,3,21081.058243934305
2006,4,21151.169081084736
2007,1,21220.950874125014
2007,2,21292.510753264876
2007,3,21365.39421971886
2007,4,21435.2651526351
2008,1,21497.788012650337
2008,2,21552.71825562897
2008,3,21603.181697770542
2008,4,21650.150332073594
2009,1,21694.595946529953
2009,2,21736.39279400571
2009,3,21775.56880636951
2009,4,21813.23763801229
2010,1,21850.51281501165
2010,2,21887.606961886428
2010,3,21923.996117695082
2010,4,21959.633325915893
2011,1,21994.47150788145
2011,2,22027.98754094908
2011,3,22060.4422279774
2011,4,22092.911655922933
2012,1,22126.471731485002
2012,2,22161.09816307618
2012,3,22196.375694215592
2012,4,22232.715760664454
2013,1,22270.52978508602
2013,2,22310.061502717497
2013,3,22351.1847174993
2013,4,22393.75023768078
2014,1,22437.60895025565
2014,2,22483.009611366415
2014,3,22530.049697538867
2014,4,22578.387215191662
2015,1,22627.680110230216
2015,2,22677.46898818569
2015,3,22728.144060587714
2015,4,22780.611627495517
2016,1,22835.778092249016
2016,2,22894.723685332177
2016,3,22956.975653173246
2016,4,23021.155377526207
2017,1,23085.884618767992
2017,2,23151.819690578028
2017,3,23219.36241446298
2017,4,23286.916546546683
2018,1,23352.885946867347
2018,2,23416.65694714533
2018,3,23479.196667250035
2018,4,23541.325319134485
2019,1,23603.863236628946
2019,2,23667.84845908507
2019,3,23732.535375396903
2019,4,23796.1213095152
2020,1,23856.803523048922
2020,2,23913.182830643647
2020,3,23966.776578723733
2020,4,24020.130271705315
2021,1,24075.78934087647
2021,2,24135.144700242126
2021,3,24196.672232654004
2021,4,24258.51278151129
2022,1,24318.807430890218
2022,2,24377.329322928526
2022,3,24435.008390059706
2022,4,24491.825167241383
