year,quarter,stock
1969,4,11167.273
1970,1,11185.418833333333
1970,2,11206.995222222222
1970,3,11231.4605
1970,4,11258.273
1971,1,11289.157354440787
1971,2,11324.742389619882
1971,3,11362.842729989034
1971,4,11401.273
1972,1,11440.762965523785
1972,2,11482.129465080969
1972,3,11523.317732097672
1972,4,11562.273
1973,1,11600.463907393578
1973,2,11638.461573562357
1973,3,11672.864952949962
1973,4,11700.273
1974,1,11720.546004314994
1974,2,11737.224312477525
1974,3,11752.426964401293
1974,4,11768.273
1975,1,11784.684918290042
1975,2,11800.747374699373
1975,3,11817.322643759018
1975,4,11835.273
1976,1,11859.51224512987
1976,2,11888.235662337662
1976,3,11912.227748376621
1976,4,11922.273
1977,1,11919.30425
1977,2,11912.773
1977,3,11906.24175
1977,4,11903.273
1978,1,11903.336262195122
1978,2,11903.525032520323
1978,3,11903.837786585365
1978,4,11904.273
1979,1,11918.406316093206
1979,2,11951.63257462253
1979,3,11991.679045840592
1979,4,12026.273
1980,1,12051.659160714285
1980,2,12074.692642857142
1980,3,12099.016303571427
1980,4,12128.273
1981,1,12165.168327117983
1981,2,12209.223038981288
1981,3,12259.30273135395
1981,4,12314.273
1982,1,12379.389029770824
1982,2,12455.461657351449
1982,3,12534.689956256345
1982,4,12609.273
1983,1,12677.946870017817
1983,2,12744.743212712987
1983,3,12809.804449051664
1983,4,12873.273
1984,1,12935.056398287381
1984,2,12995.225713524467
1984,3,13054.168671999321
1984,4,13112.273
1985,1,13169.06426071661
1985,2,13224.568773718016
1985,3,13279.92539986041
1985,4,13336.273
1986,1,13391.487368670445
1986,2,13445.788609030937
1986,3,13503.832044875964
1986,4,13570.273
1987,1,13653.21024621666
1987,2,13750.664167216062
1987,3,13852.17250460743
1987,4,13947.273
1988,1,14033.63885170268
1988,2,14116.92278294424
1988,3,14198.631822713676
1988,4,14280.273
1989,1,14363.648542286563
1989,2,14447.498190389739
1989,3,14528.735243298044
1989,4,14604.273
1990,1,14666.998282018574
1990,2,14721.297877121247
1990,3,14781.335033663296
1990,4,14861.273
1991,1,14998.405674305366
1991,2,15065.588193415582
1991,3,15114.079460667746
1991,4,15153.876294953392
1992,1,15194.974009136113
1992,2,15237.80497213301
1992,3,15278.091390753172
1992,4,15318.11125337774
1993,1,15360.142364803185
1993,2,15404.946967459047
1993,3,15451.351466703854
1993,4,15498.650231416934
1994,1,15546.137861224872
1994,2,15594.299279336105
1994,3,15643.271213643658
1994,4,15691.925729371978
1995,1,15739.134884105424
1995,2,15784.13847238859
1995,3,15827.772545188473
1995,4,15871.300464756448
1996,1,15915.985427086982
1996,2,15961.981260637664
1996,3,16008.712909651573
1996,4,16056.278228334344
1997,1,16104.775262593994
1997,2,16155.063228745774
1997,3,16206.825652189773
1997,4,16258.479796056237
1998,1,16308.442985336791
1998,2,16355.94269915472
1998,3,16402.024316658913
1998,4,16447.85902631455
1999,1,16494.618015424192
1999,2,16543.068200530844
1999,3,16592.428070147547
1999,4,16641.545448711626
2000,1,16689.268252771406
2000,2,16735.227978611834
2000,3,16780.117576376288
2000,4,16824.41713455942
2001,1,16868.60620225558
2001,2,16910.789566422172
2001,3,16951.473095509195
2001,4,16994.504986245258
2002,1,17043.734099607493
2002,2,17104.7669637737
2002,3,17175.71198088171
2002,4,17249.457081966
2003,1,17318.890907590772
2003,2,17382.27861484063
2003,3,17443.495221446086
2003,4,17504.151849012676
2004,1,17565.85969903898
2004,2,17630.005701208243
2004,3,17695.379175941118
2004,4,17759.729102216006
2005,1,17820.8044698111
2005,2,17877.218847915497
2005,3,17930.71783048838
2005,4,17983.753556669675
2006,1,18038.77799449883
2006,2,18096.711860989755
2006,3,18156.20947029043
2006,4,18216.24885922103
2007,1,18275.808678241316
2007,2,18336.733844997936
2007,3,18398.778623610415
2007,4,18458.050814069175
2008,1,18510.658692071138
2008,2,18556.2077395191
2008,3,18597.64618263298
2008,4,18636.302646501324
2009,1,18673.50553271551
2009,2,18709.25301642365
2009,3,18743.190418564118
2009,4,18776.02013814311
2010,1,18808.44450797723
2010,2,18840.659374655468
2010,3,18872.318073463495
2010,4,18903.280464210635
2011,1,18933.40631964723
2011,2,18962.256534085544
2011,3,18990.108069266418
2011,4,19017.857243332488
2012,1,19046.40017626558
2012,2,19075.517203555773
2012,3,19104.92352359237
2012,4,19135.33182892225
2013,1,19167.454809461193
2013,2,19201.790054519137
2013,3,19238.054725187554
2013,4,19275.789621150354
2014,1,19314.535660475853
2014,2,19354.49728897341
2014,3,19395.905957664494
2014,4,19438.394302311248
2015,1,19481.59488127541
2015,2,19524.95838242448
2015,3,19568.898482496734
2015,4,19614.45887988569
2016,1,19662.68334303051
2016,2,19714.611186626393
2016,3,19769.752284712107
2016,4,19826.88632706047
2017,1,19884.793379124156
2017,2,19944.226469532285
2017,3,20005.507944155976
2017,4,20066.934280506066
2018,1,20126.80203913196
2018,2,20184.34133622928
2018,3,20240.623337435696
2018,4,20296.742354150865
2019,1,20353.792843833537
2019,2,20413.094555196374
2019,3,20473.691087588344
2019,4,20533.32553055309
2020,1,20589.740976925146
2020,2,20641.51760888091
2020,3,20690.42273421369
2020,4,20738.982006212762
2021,1,20789.720975762986
2021,2,20843.895907799277
2021,3,20900.033328284844
2021,4,20956.51950135288
2022,1,21011.740898619464
2022,2,21065.49346983816
2022,3,21118.58019331569
2022,4,21170.98797003361
