date,year,quarter,starts_all,starts_private,comp_all,comp_private,hpi_index,hpi_price,base_rate,transactions_sa,transactions_spliced_flag,housing_stock_eng,epc_lodgements
1978-01-01,1978,1,45700,25880,57360,30230,730.9385171284425,13820.145190252571,6.5317333333333325,,1,17603000.0,
1978-04-01,1978,2,69520,39760,61450,32930,766.4117139715103,14490.851028357225,8.525833333333333,,1,17654116.15623475,
1978-07-01,1978,3,59340,34490,59160,30620,841.5727449063268,15911.950526915596,10.0,,1,17703225.941123694,
1978-10-01,1978,4,52130,33450,63340,33660,889.7400277483988,16822.668496619226,11.4394,,1,17747104.29331958,
1979-01-01,1979,1,31960,19060,43380,24810,941.0682885269819,17793.152333084658,13.041666666666666,,1,17782000.0,
1979-04-01,1979,2,54080,33300,48790,27840,1008.853704276606,19074.79814253216,12.465333333333334,,1,17805797.950202204,
1979-07-01,1979,3,52850,34260,47160,26130,1083.4628184288572,20485.462331021008,14.0,,1,17823651.507907994,
1979-10-01,1979,4,51690,34510,70130,39600,1161.7848273001844,21966.327696341177,15.545466666666668,,1,17841159.02874544,
1980-01-01,1980,1,33160,20470,49600,27730,1199.365342767593,22676.87744562037,17.0,,1,17864000.0,
1980-04-01,1980,2,38710,25210,49400,26250,1234.8385396106605,23347.583283725016,17.0,,1,17895991.761485867,
1980-07-01,1980,3,32500,20120,51250,27050,1249.690118486966,23628.387991050306,16.029,,1,17934898.49588804,
1980-10-01,1980,4,25370,17500,52360,27620,1242.7660715784182,23497.472282905408,15.200000000000001,,1,17977103.928781528,
1981-01-01,1981,1,28260,22790,46070,24900,1255.0587635537388,23729.89509809019,13.545466666666668,,1,18018000.0,
1981-04-01,1981,2,35940,27720,40370,21820,1274.5263737024095,24097.97694417874,12.0,,1,18053731.847779233,
1981-07-01,1981,3,36290,27830,40880,24110,1279.292927733656,24188.100076597322,12.513633333333333,,1,18086817.325063955,
1981-10-01,1981,4,30270,21270,41100,26070,1258.671309766894,23798.19894581796,14.609966666666667,,1,18119553.096486572,
1982-01-01,1982,1,37910,27730,35670,23610,1278.6908366981302,24176.71610197603,13.796366666666666,,1,18154000.0,
1982-04-01,1982,2,45370,33340,33610,23990,1305.23301651423,24678.559649864797,13.012866666666667,,1,18191135.846444454,
1982-07-01,1982,3,43750,33340,35790,25900,1320.5863379201405,24968.85100270783,11.3528,,1,18231625.590753503,
