year,quarter,starts
1975,1,28800.0
1975,2,41600.0
1975,3,41400.0
1975,4,37400.0
1976,1,37200.0
1976,2,46500.0
1976,3,42800.0
1976,4,28100.0
1977,1,26200.0
1977,2,38100.0
1977,3,39100.0
1977,4,31400.0
1978,1,30390.0
1978,2,46510.0
1978,3,41310.0
1978,4,39100.0
1979,1,23320.0
1979,2,40050.0
1979,3,41250.0
1979,4,39390.0
1980,1,24530.0
1980,2,29440.0
1980,3,23370.0
1980,4,20670.0
1981,1,26290.0
1981,2,32240.0
1981,3,32080.0
1981,4,24520.0
1982,1,31770.0
1982,2,38120.0
1982,3,38000.0
1982,4,32140.0
1983,1,39890.0
1983,2,47850.0
1983,3,43730.0
1983,4,37780.0
1984,1,37090.0
1984,2,43670.0
1984,3,40180.0
1984,4,32700.0
1985,1,33640.0
1985,2,45460.0
1985,3,44650.0
1985,4,38690.0
1986,1,35890.0
1986,2,50150.0
1986,3,49990.0
1986,4,39650.0
1987,1,44270.0
1987,2,51080.0
1987,3,53200.0
1987,4,44520.0
1988,1,51200.0
1988,2,61290.0
1988,3,55970.0
1988,4,50750.0
1989,1,46690.0
1989,2,50010.0
1989,3,40280.0
1989,4,32450.0
1990,1,35980.0
1990,2,37390.0
1990,3,34350.0
1990,4,29330.0
1991,1,32010.0
1991,2,38350.0
1991,3,36510.0
1991,4,29740.0
1992,1,32040.0
1992,2,34800.0
1992,3,29770.0
1992,4,23550.0
1993,1,34910.0
1993,2,38690.0
1993,3,36000.0
1993,4,31310.0
1994,1,39280.0
1994,2,44380.0
1994,3,41020.0
1994,4,34270.0
1995,1,35470.0
1995,2,39370.0
1995,3,33890.0
1995,4,25990.0
1996,1,33280.0
1996,2,37720.0
1996,3,39160.0
1996,4,35540.0
1997,1,42510.0
1997,2,42510.0
1997,3,41520.0
1997,4,36490.0
1998,1,41870.0
1998,2,40580.0
1998,3,40620.0
1998,4,32040.0
1999,1,40410.0
1999,2,40780.0
1999,3,40410.0
1999,4,35700.0
2000,1,42640.0
2000,2,41730.0
2000,3,40250.0
2000,4,30900.0
2001,1,39340.0
2001,2,42940.0
2001,3,42880.0
2001,4,34930.0
2002,1,41520.0
2002,2,42440.0
2002,3,44280.0
2002,4,35460.0
2003,1,44100.0
2003,2,45630.0
2003,3,44920.0
2003,4,40780.0
2004,1,46340.0
2004,2,51200.0
2004,3,49940.0
2004,4,41610.0
2005,1,43260.0
2005,2,48730.0
2005,3,47310.0
2005,4,43430.0
2006,1,50700.0
2006,2,49750.0
2006,3,43830.0
2006,4,38050.0
2007,1,49870.0
2007,2,49990.0
2007,3,47620.0
2007,4,43430.0
2008,1,35410.0
2008,2,33300.0
2008,3,19810.0
2008,4,15320.0
2009,1,15360.0
2009,2,18770.0
2009,3,23810.0
2009,4,20380.0
2010,1,24820.0
2010,2,28780.0
2010,3,26300.0
2010,4,18990.0
2011,1,24520.0
2011,2,25960.0
2011,3,26270.0
2011,4,22350.0
2012,1,23310.0
2012,2,22800.0
2012,3,24610.0
2012,4,20220.0
2013,1,25160.0
2013,2,29360.0
2013,3,31100.0
2013,4,24200.0
2014,1,34610.0
2014,2,33320.0
2014,3,32240.0
2014,4,24830.0
2015,1,36990.0
2015,2,34900.0
2015,3,34460.0
2015,4,28550.0
2016,1,33270.0
2016,2,37060.0
2016,3,39570.0
2016,4,31540.0
2017,1,37840.0
2017,2,40110.0
2017,3,37180.0
2017,4,33820.0
2018,1,37930.0
2018,2,38710.0
2018,3,43240.0
2018,4,33970.0
2019,1,36180.0
2019,2,36470.0
2019,3,40100.0
2019,4,28460.0
2020,1,31650.0
2020,2,14720.0
2020,3,35130.0
2020,4,33580.0
2021,1,42030.0
2021,2,42540.0
2021,3,41620.0
2021,4,32310.0
2022,1,39550.0
2022,2,51680.0
2022,3,39570.0
2022,4,28520.0
2023,1,31840.0
2023,2,57510.0
2023,3,20930.0
2023,4,15750.0
2024,1,20070.0
2024,2,21510.0
2024,3,24980.0
2024,4,21750.0
2025,1,25220.0
2025,2,26580.0
2025,3,25400.0
2025,4,28310.0
