Date,cc_deflator
1975Q1,9.562
1975Q2,10.1961
1975Q3,10.6378
1975Q4,11.1069
1976Q1,11.4751
1976Q2,11.7996
1976Q3,12.0847
1976Q4,12.5661
1977Q1,13.0227
1977Q2,13.5281
1977Q3,13.8158
1977Q4,14.2008
1978Q1,14.7273
1978Q2,15.1427
1978Q3,15.3629
1978Q4,15.7758
1979Q1,16.3258
1979Q2,16.7321
1979Q3,17.9977
1979Q4,18.7637
1980Q1,19.6787
1980Q2,20.5901
1980Q3,21.3641
1980Q4,22.2896
1981Q1,22.8937
1981Q2,23.2941
1981Q3,23.6822
1981Q4,24.392
1982Q1,24.9475
1982Q2,25.1739
1982Q3,25.5742
1982Q4,26.1078
1983Q1,26.5576
1983Q2,26.548
1983Q3,26.9602
1983Q4,27.3823
1984Q1,27.4432
1984Q2,28.2573
1984Q3,28.4819
1984Q4,28.8893
1985Q1,29.0396
1985Q2,29.5174
1985Q3,30.0841
1985Q4,30.5431
1986Q1,30.7686
1986Q2,30.8722
1986Q3,31.2133
1986Q4,31.6611
1987Q1,32.0786
1987Q2,32.573
1987Q3,33.1956
1987Q4,33.5184
1988Q1,33.8629
1988Q2,34.5329
1988Q3,35.1495
1988Q4,35.9024
1989Q1,36.6312
1989Q2,37.0522
1989Q3,37.9977
1989Q4,38.9834
1990Q1,39.6811
1990Q2,40.3021
1990Q3,41.5638
1990Q4,41.9927
1991Q1,42.7522
1991Q2,43.4496
1991Q3,43.8931
1991Q4,44.41
1992Q1,44.8785
1992Q2,45.0573
1992Q3,45.0063
1992Q4,45.2595
1993Q1,46.1502
1993Q2,45.9995
1993Q3,46.4805
1993Q4,46.9692
1994Q1,47.1882
1994Q2,46.9708
1994Q3,47.1054
1994Q4,47.7627
1995Q1,47.8948
1995Q2,48.275
1995Q3,48.6165
1995Q4,49.1863
1996Q1,49.6609
1996Q2,50.5732
1996Q3,50.9483
1996Q4,50.8229
1997Q1,50.0154
1997Q2,50.2927
1997Q3,51.5473
1997Q4,50.2288
1998Q1,50.8152
1998Q2,50.9449
1998Q3,51.3252
1998Q4,51.6853
1999Q1,51.7794
1999Q2,51.9367
1999Q3,51.7709
1999Q4,52.1397
2000Q1,52.4316
2000Q2,52.3518
2000Q3,52.4082
2000Q4,52.4661
2001Q1,52.9091
2001Q2,53.4131
2001Q3,53.4823
2001Q4,53.44
2002Q1,54.0127
2002Q2,54.3005
2002Q3,54.504
2002Q4,54.8764
2003Q1,55.0745
2003Q2,55.6409
2003Q3,55.9887
2003Q4,56.1724
2004Q1,56.3199
2004Q2,57.2201
2004Q3,57.2662
2004Q4,58.1615
2005Q1,58.1553
2005Q2,58.9852
2005Q3,59.0861
2005Q4,59.2951
2006Q1,59.7766
2006Q2,60.5929
2006Q3,61.1643
2006Q4,61.2419
2007Q1,61.2713
2007Q2,62.1876
2007Q3,62.0747
2007Q4,62.0772
2008Q1,62.7091
2008Q2,63.5161
2008Q3,64.488
2008Q4,65.1514
2009Q1,65.1753
2009Q2,65.2597
2009Q3,65.5185
2009Q4,64.9871
2010Q1,65.907
2010Q2,65.9501
2010Q3,66.0919
2010Q4,66.4524
2011Q1,67.6299
2011Q2,67.2593
2011Q3,67.8041
2011Q4,68.2577
2012Q1,68.4845
2012Q2,68.5281
2012Q3,68.8726
2012Q4,69.256
2013Q1,69.8615
2013Q2,69.9658
2013Q3,70.5449
2013Q4,70.6982
2014Q1,71.0617
2014Q2,71.0083
2014Q3,71.8671
2014Q4,71.6199
2015Q1,71.7655
2015Q2,71.6435
2015Q3,71.8592
2015Q4,72.2063
2016Q1,72.5391
2016Q2,72.6543
2016Q3,73.3998
2016Q4,73.8607
2017Q1,74.1117
2017Q2,74.0971
2017Q3,74.0992
2017Q4,74.6645
2018Q1,74.8891
2018Q2,75.5023
2018Q3,75.8819
2018Q4,76.5282
2019Q1,76.6241
2019Q2,77.4287
2019Q3,77.8909
2019Q4,78.309
2020Q1,78.9433
2020Q2,84.7951
2020Q3,81.3985
2020Q4,80.8187
2021Q1,81.8943
2021Q2,80.9601
2021Q3,81.8519
2021Q4,82.8642
2022Q1,84.0167
2022Q2,85.7337
2022Q3,87.1127
2022Q4,89.3153
2023Q1,90.7052
2023Q2,92.0593
2023Q3,92.7305
2023Q4,92.6789
2024Q1,93.9827
2024Q2,95.0726
2024Q3,96.5011
2024Q4,97.1477
2025Q1,97.8048
2025Q2,98.8643
2025Q3,99.6848
2025Q4,100.2357
2026Q1,101.2151
