,0
1975Q1,10.3
1975Q2,11.2
1975Q3,11.7
1975Q4,11.5
1976Q1,11.4
1976Q2,12.4
1976Q3,12.8
1976Q4,12.7
1977Q1,12.3
1977Q2,13.5
1977Q3,14.1
1977Q4,14.1
1978Q1,13.6
1978Q2,15.2
1978Q3,16.3
1978Q4,16.6
1979Q1,16.2
1979Q2,18.2
1979Q3,20.1
1979Q4,20.6
1980Q1,20.1
1980Q2,23.0
1980Q3,24.5
1980Q4,24.5
1981Q1,23.1
1981Q2,25.3
1981Q3,25.5
1981Q4,24.5
1982Q1,23.2
1982Q2,25.2
1982Q3,25.3
1982Q4,24.8
1983Q1,25.6
1983Q2,26.2
1983Q3,26.9
1983Q4,27.3
1984Q1,27.8
1984Q2,28.3
1984Q3,28.8
1984Q4,29.1
1985Q1,29.5
1985Q2,29.9
1985Q3,30.4
1985Q4,31.0
1986Q1,31.9
1986Q2,32.4
1986Q3,33.2
1986Q4,33.7
1987Q1,34.6
1987Q2,35.4
1987Q3,36.4
1987Q4,37.5
1988Q1,38.6
1988Q2,40.1
1988Q3,42.1
1988Q4,43.8
1989Q1,45.5
1989Q2,47.1
1989Q3,48.4
1989Q4,49.7
1990Q1,50.9
1990Q2,51.8
1990Q3,52.5
1990Q4,52.9
1991Q1,53.0
1991Q2,52.5
1991Q3,52.4
1991Q4,52.1
1992Q1,51.6
1992Q2,51.1
1992Q3,50.7
1992Q4,50.2
1993Q1,48.7
1993Q2,50.1
1993Q3,50.2
1993Q4,51.5
1994Q1,52.3
1994Q2,53.7
1994Q3,54.5
1994Q4,54.6
1995Q1,53.9
1995Q2,54.0
1995Q3,53.9
1995Q4,54.0
1996Q1,54.0
1996Q2,55.2
1996Q3,56.1
1996Q4,57.2
1997Q1,57.1
1997Q2,58.4
1997Q3,59.4
1997Q4,60.2
1998Q1,61.7
1998Q2,62.1
1998Q3,62.7
1998Q4,64.7
1999Q1,66.9
1999Q2,68.6
1999Q3,70.3
1999Q4,71.1
2000Q1,71.4
2000Q2,73.2
2000Q3,72.3
2000Q4,73.7
2001Q1,76.4
2001Q2,78.7
2001Q3,79.6
2001Q4,81.8
2002Q1,82.4
2002Q2,87.6
2002Q3,87.0
2002Q4,88.0
2003Q1,88.6
2003Q2,90.2
2003Q3,91.3
2003Q4,92.0
2004Q1,92.7
2004Q2,93.7
2004Q3,94.9
2004Q4,95.9
2005Q1,97.3
2005Q2,99.3
2005Q3,101.2
2005Q4,102.3
2006Q1,104.5
2006Q2,104.5
2006Q3,104.7
2006Q4,105.4
2007Q1,107.0
2007Q2,107.9
2007Q3,108.8
2007Q4,109.9
2008Q1,112.2
2008Q2,113.8
2008Q3,115.7
2008Q4,116.7
2009Q1,116.9
2009Q2,115.2
2009Q3,115.0
2009Q4,115.0
2010Q1,115.4
2010Q2,116.0
2010Q3,115.8
2010Q4,115.7
2011Q1,116.1
2011Q2,116.6
2011Q3,117.6
2011Q4,118.7
2012Q1,119.7
2012Q2,119.7
2012Q3,120.3
2012Q4,120.8
2013Q1,121.18055555555556
2013Q2,121.87499999999997
2013Q3,123.26388888888889
2013Q4,125.5787037037037
2014Q1,128.2
2014Q2,126.61886666666665
2014Q3,127.04619999999996
2014Q4,127.04619999999998
2015Q1,128.02906666666664
2015Q2,128.28546666666665
2015Q3,128.07179999999997
2015Q4,128.45639999999997
2016Q1,130.4221333333333
2016Q2,131.3195333333333
2016Q3,132.4733333333333
2016Q4,134.09719999999996
2017Q1,135.72106666666664
2017Q2,136.27659999999997
2017Q3,138.2423333333333
2017Q4,139.31066666666666
2018Q1,141.06273333333334
2018Q2,142.38746666666665
2018Q3,142.38746666666665
2018Q4,143.45579999999995
2019Q1,144.95146666666665
2019Q2,147.00266666666664
2019Q3,147.6864
2019Q4,146.66079999999997
2020Q1,146.87446666666665
2020Q2,147.04539999999997
2020Q3,147.90006666666665
2020Q4,148.4983333333333
2021Q1,150.1222
2021Q2,153.32719999999995
2021Q3,158.02786666666665
2021Q4,161.91659999999996
2022Q1,166.53179999999998
2022Q2,172.17259999999996
2022Q3,174.90753333333336
2022Q4,178.62533333333332
2023Q1,183.53966666666662
2023Q2,186.18913333333333
2023Q3,187.12926666666664
2023Q4,186.06093333333328
2024Q1,188.19759999999994
2024Q2,191.95813333333334
2024Q3,192.25726666666665
2024Q4,193.28286666666665
2025Q1,195.2913333333333
2025Q2,196.91519999999997
2025Q3,198.19719999999995
2025Q4,198.9664
2026Q1,199.3937333333333
