Date,Average_Price
1975Q1,8264.0
1975Q2,8501.0
1975Q3,8702.0
1975Q4,8812.0
1976Q1,8958.0
1976Q2,9178.0
1976Q3,9379.0
1976Q4,9543.0
1977Q1,9617.0
1977Q2,9745.0
1977Q3,10037.0
1977Q4,10348.0
1978Q1,10567.0
1978Q2,11097.0
1978Q3,11884.0
1978Q4,12743.0
1979Q1,13419.0
1979Q2,14480.0
1979Q3,15540.0
1979Q4,16655.0
1980Q1,17350.0
1980Q2,18063.0
1980Q3,18630.0
1980Q4,18813.0
1981Q1,18849.0
1981Q2,19343.0
1981Q3,19599.0
1981Q4,19270.0
1982Q1,18740.0
1982Q2,19526.0
1982Q3,20038.0
1982Q4,20312.0
1983Q1,21025.0
1983Q2,21573.0
1983Q3,22487.0
1983Q4,22670.0
1984Q1,23036.0
1984Q2,23767.0
1984Q3,24681.0
1984Q4,25047.0
1985Q1,25047.0
1985Q2,25961.0
1985Q3,26692.0
1985Q4,27424.0
1986Q1,28155.0
1986Q2,29435.0
1986Q3,30897.0
1986Q4,31994.0
1987Q1,32908.0
1987Q2,34554.0
1987Q3,36199.0
1987Q4,38489.0
1988Q1,40335.0
1988Q2,42707.0
1988Q3,48771.0
1988Q4,51671.0
1989Q1,52725.0
1989Q2,54307.0
1989Q3,56416.0
1989Q4,55098.0
1990Q1,53894.0
1990Q2,53358.0
1990Q3,54109.0
1990Q4,53090.0
1991Q1,52125.0
1991Q2,52178.0
1991Q3,53197.0
1991Q4,52339.0
1992Q1,51374.0
1992Q2,50033.0
1992Q3,50180.0
1992Q4,47975.0
1993Q1,48465.0
1993Q2,48612.0
1993Q3,49641.0
1993Q4,48906.0
1994Q1,49543.0
1994Q2,50082.0
1994Q3,50719.0
1994Q4,50670.0
1995Q1,50196.666666666664
1995Q2,50669.666666666664
1995Q3,50608.666666666664
1995Q4,49898.666666666664
1996Q1,49583.333333333336
1996Q2,50746.0
1996Q3,51876.0
1996Q4,52299.333333333336
1997Q1,53114.666666666664
1997Q2,55142.333333333336
1997Q3,57224.0
1997Q4,57941.666666666664
1998Q1,58477.666666666664
1998Q2,60607.333333333336
1998Q3,61943.0
1998Q4,61810.0
1999Q1,62207.333333333336
1999Q2,64666.333333333336
1999Q3,67703.33333333333
1999Q4,70048.0
2000Q1,71711.66666666667
2000Q2,75924.66666666667
2000Q3,78569.66666666667
2000Q4,78991.66666666667
2001Q1,79894.0
2001Q2,83756.66666666667
2001Q3,87629.33333333333
2001Q4,89767.0
2002Q1,91849.66666666667
2002Q2,98386.33333333333
2002Q3,105978.66666666667
2002Q4,111582.0
2003Q1,115380.0
2003Q2,120814.33333333333
2003Q3,125904.33333333333
2003Q4,129676.33333333333
2004Q1,132989.0
2004Q2,141901.0
2004Q3,149404.0
2004Q4,150927.33333333334
2005Q1,150061.66666666666
2005Q2,153726.66666666666
2005Q3,156841.0
2005Q4,157099.0
2006Q1,157809.33333333334
2006Q2,163039.33333333334
2006Q3,167439.66666666666
2006Q4,170157.0
2007Q1,172440.66666666666
2007Q2,178236.0
2007Q3,183304.33333333334
2007Q4,183658.0
2008Q1,179534.33333333334
2008Q2,178202.66666666666
2008Q3,171382.33333333334
2008Q4,159645.0
2009Q1,151995.66666666666
2009Q2,153572.0
2009Q3,160027.66666666666
2009Q4,163419.66666666666
2010Q1,165056.66666666666
2010Q2,167805.66666666666
2010Q3,170434.0
2010Q4,166935.33333333334
2011Q1,164058.66666666666
2011Q2,165222.66666666666
2011Q3,167200.33333333334
2011Q4,165281.0
2012Q1,164488.33333333334
2012Q2,167509.66666666666
2012Q3,169770.66666666666
2012Q4,168522.0
2013Q1,167492.0
2013Q2,170765.66666666666
2013Q3,174978.66666666666
2013Q4,176289.66666666666
2014Q1,178646.0
2014Q2,185167.66666666666
2014Q3,191303.66666666666
2014Q4,191772.66666666666
2015Q1,191860.66666666666
2015Q2,196403.66666666666
2015Q3,203185.33333333334
2015Q4,206060.0
2016Q1,208858.33333333334
2016Q2,213557.66666666666
2016Q3,218061.0
2016Q4,218069.66666666666
2017Q1,219054.33333333334
2017Q2,223552.66666666666
2017Q3,228504.0
2017Q4,228313.0
2018Q1,227687.0
2018Q2,229992.33333333334
2018Q3,234412.66666666666
2018Q4,233225.33333333334
2019Q1,230384.66666666666
2019Q2,231450.33333333334
2019Q3,235192.0
2019Q4,234399.0
2020Q1,234069.33333333334
2020Q2,234353.66666666666
2020Q3,241441.33333333334
2020Q4,247669.0
2021Q1,251868.66666666666
2021Q2,256011.66666666666
2021Q3,259259.66666666666
2021Q4,264401.0
2022Q1,271240.3333333333
2022Q2,278004.0
2022Q3,288668.3333333333
2022Q4,289398.0
2023Q1,283105.3333333333
2023Q2,280495.0
2023Q3,284788.0
2023Q4,280945.6666666667
2024Q1,277322.0
2024Q2,280126.6666666667
2024Q3,286341.3333333333
2024Q4,287148.0
2025Q1,288935.3333333333
2025Q2,284692.6666666667
2025Q3,292045.0
2025Q4,292265.6666666667
2026Q1,290280.3333333333
