Date,Average_Price
1975Q1,8456.0
1975Q2,8680.0
1975Q3,8942.0
1975Q4,9036.0
1976Q1,9223.0
1976Q2,9466.0
1976Q3,9691.0
1976Q4,9840.0
1977Q1,9915.0
1977Q2,10065.0
1977Q3,10364.0
1977Q4,10682.0
1978Q1,10925.0
1978Q2,11449.0
1978Q3,12254.0
1978Q4,13114.0
1979Q1,13806.0
1979Q2,14873.0
1979Q3,16014.0
1979Q4,17080.0
1980Q1,17754.0
1980Q2,18464.0
1980Q3,19213.0
1980Q4,19250.0
1981Q1,19288.0
1981Q2,19811.0
1981Q3,20129.0
1981Q4,19737.0
1982Q1,19250.0
1982Q2,20092.0
1982Q3,20597.0
1982Q4,20896.0
1983Q1,21514.0
1983Q2,22262.0
1983Q3,23197.0
1983Q4,23385.0
1984Q1,23572.0
1984Q2,24320.0
1984Q3,25255.0
1984Q4,25629.0
1985Q1,25629.0
1985Q2,26565.0
1985Q3,27126.0
1985Q4,28061.0
1986Q1,28623.0
1986Q2,29932.0
1986Q3,31242.0
1986Q4,32177.0
1987Q1,33113.0
1987Q2,34609.0
1987Q3,36293.0
1987Q4,38442.0
1988Q1,40055.0
1988Q2,42475.0
1988Q3,48120.0
1988Q4,51077.0
1989Q1,52152.0
1989Q2,54034.0
1989Q3,55916.0
1989Q4,54841.0
1990Q1,53658.0
1990Q2,53176.0
1990Q3,54141.0
1990Q4,53337.0
1991Q1,52586.0
1991Q2,52372.0
1991Q3,53390.0
1991Q4,52908.0
1992Q1,52050.0
1992Q2,50817.0
1992Q3,50967.0
1992Q4,49018.0
1993Q1,49268.0
1993Q2,49668.0
1993Q3,50717.0
1993Q4,49768.0
1994Q1,50317.0
1994Q2,51017.0
1994Q3,51866.0
1994Q4,51517.0
1995Q1,51067.0
1995Q2,51617.0
1995Q3,52066.0
1995Q4,51367.0
1996Q1,52116.0
1996Q2,52166.0
1996Q3,54215.0
1996Q4,55164.0
1997Q1,55914.0
1997Q2,57063.0
1997Q3,59961.0
1997Q4,59511.0
1998Q1,61010.0
1998Q2,64258.0
1998Q3,67057.0
1998Q4,66757.0
1999Q1,67157.0
1999Q2,70005.0
1999Q3,74102.0
1999Q4,76001.0
2000Q1,77950.0
2000Q2,82197.0
2000Q3,83746.0
2000Q4,86244.0
2001Q1,85794.0
2001Q2,88892.0
2001Q3,92090.0
2001Q4,90242.0
2002Q1,93189.66666666667
2002Q2,100800.0
2002Q3,107634.0
2002Q4,112977.0
2003Q1,114996.33333333333
2003Q2,118537.0
2003Q3,121799.0
2003Q4,124283.66666666667
2004Q1,125464.33333333333
2004Q2,132764.0
2004Q3,138697.33333333334
2004Q4,139598.33333333334
2005Q1,139049.33333333334
2005Q2,143144.66666666666
2005Q3,146589.33333333334
2005Q4,146899.66666666666
2006Q1,147919.66666666666
2006Q2,153477.33333333334
2006Q3,158251.33333333334
2006Q4,161271.0
2007Q1,163556.0
2007Q2,169778.66666666666
2007Q3,174565.0
2007Q4,174492.33333333334
2008Q1,169745.0
2008Q2,168650.33333333334
2008Q3,162003.0
2008Q4,151250.0
2009Q1,143428.0
2009Q2,145367.0
2009Q3,150999.66666666666
2009Q4,153987.0
2010Q1,154522.33333333334
2010Q2,157386.33333333334
2010Q3,159614.0
2010Q4,156219.33333333334
2011Q1,153333.66666666666
2011Q2,154585.66666666666
2011Q3,156408.33333333334
2011Q4,154289.66666666666
2012Q1,152704.0
2012Q2,155463.0
2012Q3,157182.66666666666
2012Q4,155727.66666666666
2013Q1,154781.66666666666
2013Q2,157896.66666666666
2013Q3,161719.0
2013Q4,162648.66666666666
2014Q1,164780.0
2014Q2,170750.66666666666
2014Q3,176183.66666666666
2014Q4,176476.33333333334
2015Q1,175953.33333333334
2015Q2,179733.33333333334
2015Q3,185617.66666666666
2015Q4,187860.33333333334
2016Q1,189972.66666666666
2016Q2,194123.0
2016Q3,198079.33333333334
2016Q4,197966.66666666666
2017Q1,198413.66666666666
2017Q2,202790.0
2017Q3,207372.0
2017Q4,207225.66666666666
2018Q1,206787.33333333334
2018Q2,209137.0
2018Q3,213263.66666666666
2018Q4,212228.0
2019Q1,209768.66666666666
2019Q2,211212.66666666666
2019Q3,214793.33333333334
2019Q4,213960.33333333334
2020Q1,213476.66666666666
2020Q2,213875.33333333334
2020Q3,220234.66666666666
2020Q4,226499.33333333334
2021Q1,229982.33333333334
2021Q2,234096.0
2021Q3,238386.66666666666
2021Q4,242785.0
2022Q1,248524.0
2022Q2,255108.33333333334
2022Q3,264585.0
2022Q4,264727.3333333333
2023Q1,258538.0
2023Q2,257361.33333333334
2023Q3,261700.66666666666
2023Q4,258224.66666666666
2024Q1,255229.0
2024Q2,258209.33333333334
2024Q3,264104.6666666667
2024Q4,264586.0
2025Q1,265908.6666666667
2025Q2,263571.6666666667
2025Q3,270241.3333333333
2025Q4,270467.6666666667
2026Q1,268387.3333333333
