,Date,stock
0,1975Q1,11931415.685886651
1,1975Q2,11972733.854218172
2,1975Q3,12013853.37750964
3,1975Q4,12051000.0
4,1976Q1,12071468.787576733
5,1976Q2,12101048.643937733
6,1976Q3,12126842.671306485
7,1976Q4,12138000.0
8,1977Q1,12128652.120196916
9,1977Q2,12130841.1714618
10,1977Q3,12133791.452646531
11,1977Q4,12129000.0
12,1978Q1,12125416.900441688
13,1978Q2,12124294.937504461
14,1978Q3,12120760.938640788
15,1978Q4,12120000.0
16,1979Q1,12145864.788281431
17,1979Q2,12174664.185308758
18,1979Q3,12201819.83491722
19,1979Q4,12242000.0
20,1980Q1,12268053.13647303
21,1980Q2,12292673.015531039
22,1980Q3,12318062.751656353
23,1980Q4,12344000.0
24,1981Q1,12391022.952290427
25,1981Q2,12435148.589858228
26,1981Q3,12481577.225126792
27,1981Q4,12530000.0
28,1982Q1,12600927.36743983
29,1982Q2,12672402.952919435
30,1982Q3,12745937.17942134
31,1982Q4,12825000.0
32,1983Q1,12886517.933547858
33,1983Q2,12952313.4443997
34,1983Q3,13017698.015752729
35,1983Q4,13089000.0
36,1984Q1,13148309.692055475
37,1984Q2,13204813.254939143
38,1984Q3,13264492.455846522
39,1984Q4,13328000.0
40,1985Q1,13382246.592420503
41,1985Q2,13437096.009056626
42,1985Q3,13491822.051000003
43,1985Q4,13552000.0
44,1986Q1,13605388.633179655
45,1986Q2,13662582.544311164
46,1986Q3,13720604.385392755
47,1986Q4,13786000.0
48,1987Q1,13877343.286706815
49,1987Q2,13969788.446847895
50,1987Q3,14063200.51421325
51,1987Q4,14163000.0
52,1988Q1,14245027.769188302
53,1988Q2,14326259.776222765
54,1988Q3,14410890.471277002
55,1988Q4,14496000.0
56,1989Q1,14578209.895278528
57,1989Q2,14658005.887067601
58,1989Q3,14737501.373546088
59,1989Q4,14820000.0
60,1990Q1,14884925.227356717
61,1990Q2,14946477.586405009
62,1990Q3,15009723.315417554
63,1990Q4,15077000.0
64,1991Q1,15135679.5
65,1991Q2,15149570.996194812
66,1991Q3,15164159.153308474
67,1991Q4,15180751.561849838
68,1992Q1,15194359.0
69,1992Q2,15235136.566048745
70,1992Q3,15277341.025267266
71,1992Q4,15318661.067347798
72,1993Q1,15359543.0
73,1993Q2,15404734.62181814
74,1993Q3,15450691.654648783
75,1993Q4,15500049.307055254
76,1994Q1,15545489.0
77,1994Q2,15591270.495300418
78,1994Q3,15639890.338594837
79,1994Q4,15690636.405237088
80,1995Q1,15738503.0
81,1995Q2,15783697.534851532
82,1995Q3,15827657.986491987
83,1995Q4,15872978.825595034
84,1996Q1,15915360.0
85,1996Q2,15960598.118775334
86,1996Q3,16007760.98250051
87,1996Q4,16058497.257093959
88,1997Q1,16104104.0
89,1997Q2,16156144.85183238
90,1997Q3,16206706.928985018
91,1997Q4,16260670.570759643
92,1998Q1,16307777.000000002
93,1998Q2,16355351.70005122
94,1998Q3,16402177.351176323
95,1998Q4,16450888.173357584
96,1999Q1,16493966.0
97,1999Q2,16541300.282735448
98,1999Q3,16591390.192368323
99,1999Q4,16642931.114268446
100,2000Q1,16688628.999999998
101,2000Q2,16734796.921577662
102,2000Q3,16778879.280020885
103,2000Q4,16825860.851860166
104,2001Q1,16868000.0
105,2001Q2,16910754.43212709
106,2001Q3,16954860.404538985
107,2001Q4,17000958.594377823
108,2002Q1,17043264.0
109,2002Q2,17111476.125096425
110,2002Q3,17178520.55711918
111,2002Q4,17252040.41300657
112,2003Q1,17318239.0
113,2003Q2,17379559.5822867
114,2003Q3,17439371.928380776
115,2003Q4,17508433.209846675
116,2004Q1,17564833.0
117,2004Q2,17629542.804291256
118,2004Q3,17694801.55828419
119,2004Q4,17762067.959211774
120,2005Q1,17820094.0
121,2005Q2,17874806.65303218
122,2005Q3,17926030.03250612
123,2005Q4,17986826.029308897
124,2006Q1,18037180.0
125,2006Q2,18098540.82234421
126,2006Q3,18153209.873660784
127,2006Q4,18212705.3873076
128,2007Q1,18274431.0
129,2007Q2,18335626.419305664
130,2007Q3,18392012.968454562
131,2007Q4,18457074.991771918
132,2008Q1,18509975.0
133,2008Q2,18555520.314314023
134,2008Q3,18594831.694263123
135,2008Q4,18636999.52647364
136,2009Q1,18672811.0
137,2009Q2,18709014.748368956
138,2009Q3,18741396.50437118
139,2009Q4,18777790.996561427
140,2010Q1,18807151.0
141,2010Q2,18840324.48331023
142,2010Q3,18871024.09674928
143,2010Q4,18902813.669801474
144,2011Q1,18932662.0
145,2011Q2,18961860.75819779
146,2011Q3,18987110.285298087
147,2011Q4,19016974.365381185
148,2012Q1,19045683.0
149,2012Q2,19078335.37390656
150,2012Q3,19107021.283747625
151,2012Q4,19139809.659935694
152,2013Q1,19167167.0
153,2013Q2,19205345.410530988
154,2013Q3,19239930.017853882
155,2013Q4,19278580.61397974
156,2014Q1,19313794.0
157,2014Q2,19356228.991638105
158,2014Q3,19395231.4775135
159,2014Q4,19438618.807888974
160,2015Q1,19481004.0
161,2015Q2,19527660.58976128
162,2015Q3,19570361.39646315
163,2015Q4,19619855.811972693
164,2016Q1,19662123.0
165,2016Q2,19716912.946338974
166,2016Q3,19771612.83504936
167,2016Q4,19827862.153413862
168,2017Q1,19883492.0
169,2017Q2,19945839.007316474
170,2017Q3,20003374.375260822
171,2017Q4,20070129.456648774
172,2018Q1,20125719.0
173,2018Q2,20183047.4425129
174,2018Q3,20236511.34735865
175,2018Q4,20299791.89848693
176,2019Q1,20353327.0
177,2019Q2,20414129.56715405
178,2019Q3,20472695.38445544
179,2019Q4,20536541.37845744
180,2020Q1,20588097.0
181,2020Q2,20617546.926500943
182,2020Q3,20670663.737237334
183,2020Q4,20733224.856630236
184,2021Q1,20788628.0
185,2021Q2,20845453.00054433
186,2021Q3,20898886.943562966
187,2021Q4,20957308.84951095
188,2022Q1,21011138.0
189,2022Q2,21067401.525489796
190,2022Q3,21117819.4741489
191,2022Q4,21177923.168210734
192,2023Q1,21222472.0
193,2023Q2,21270797.64577878
194,2023Q3,21320483.587317187
195,2023Q4,21371166.168061607
196,2024Q1,21412045.0
197,2024Q2,21465400.74504619
198,2024Q3,21508615.783104256
199,2024Q4,21556371.973435257
200,2025Q1,21596809.0
201,2025Q2,21629821.946067166
202,2025Q3,21657178.910693426
203,2025Q4,21692321.724248793
