Quarter,major_dw,minor_dw,major_all,granted
1979Q2,1538.0,12454.0,3330,13992.0
1979Q3,1505.0,12489.0,3409,13994.0
1979Q4,1584.0,12106.0,3575,13690.0
1980Q1,1660.0,12204.0,3673,13864.0
1980Q2,1476.0,13430.0,3494,14906.0
1980Q3,1555.0,12792.0,3601,14347.0
1980Q4,1420.0,11774.0,3220,13194.0
1981Q1,1403.0,11878.0,3115,13281.0
1981Q2,1745.0,14701.0,3694,16446.0
1981Q3,1505.0,11633.0,3059,13138.0
1981Q4,1367.0,10503.0,2683,11870.0
1982Q1,1333.0,10230.0,2620,11563.0
1982Q2,1439.0,11587.0,2559,13026.0
1982Q3,1410.0,11778.0,2635,13188.0
1982Q4,1379.0,11295.0,2561,12674.0
1983Q1,1670.0,12049.0,2851,13719.0
1983Q2,1513.0,13138.0,2520,14651.0
1983Q3,1625.0,13471.0,2748,15096.0
1983Q4,1629.0,12635.0,2793,14264.0
1984Q1,1698.0,13035.0,3004,14733.0
1984Q2,1620.0,13615.0,2887,15235.0
1984Q3,1632.0,13108.0,2909,14740.0
1984Q4,1590.0,12193.0,2808,13783.0
1985Q1,1764.0,12326.0,3047,14090.0
1985Q2,1655.0,13544.0,2941,15199.0
1985Q3,1743.0,14192.0,3038,15935.0
1985Q4,1824.0,13060.0,3025,14884.0
1986Q1,1769.0,12862.0,2926,14631.0
1986Q2,1833.0,14581.0,3278,16414.0
1986Q3,1785.0,14620.0,3153,16405.0
1986Q4,1999.0,14008.0,3448,16007.0
1987Q1,1913.0,14044.0,3294,15957.0
1987Q2,1927.0,15335.0,3399,17262.0
1987Q3,1975.0,16244.0,3522,18219.0
1987Q4,2082.0,15140.0,3713,17222.0
1988Q1,2159.0,16363.0,3947,18522.0
1988Q2,2051.0,17268.0,3859,19319.0
1988Q3,2349.0,18081.0,4284,20430.0
1988Q4,2302.0,18246.0,4376,20548.0
1989Q1,2456.0,17604.0,4715,20060.0
1989Q2,2303.0,17617.0,4439,19920.0
1989Q3,2002.0,15513.0,4127,17515.0
1989Q4,2153.0,14360.0,4445,16513.0
1990Q1,2150.0,13623.0,4537,15773.0
1990Q2,1816.0,13232.0,4016,15048.0
1990Q3,1683.0,12530.0,3749,14213.0
1990Q4,1632.0,11821.0,3693,13453.0
1991Q1,1713.0,10848.0,4116,12561.0
1991Q2,1611.0,11347.0,3410,12958.0
1991Q3,1671.0,12187.0,3320,13858.0
1991Q4,1729.0,11201.0,3345,12930.0
1992Q1,1740.0,10669.0,3322,12409.0
1992Q2,1683.0,10707.0,3279,12390.0
1992Q3,1668.0,10386.0,3099,12054.0
1992Q4,1707.0,9501.0,3256,11208.0
1993Q1,1749.0,8863.0,3256,10612.0
1993Q2,1550.0,9587.0,3006,11137.0
1993Q3,1772.0,10064.0,3301,11836.0
1993Q4,2007.0,9835.0,3678,11842.0
1994Q1,1909.0,9823.0,3465,11732.0
1994Q2,1770.0,10329.0,3384,12099.0
1994Q3,1710.0,10684.0,3375,12394.0
1994Q4,1728.0,9735.0,3337,11463.0
1995Q1,1887.0,9907.0,3593,11794.0
1995Q2,1471.0,9771.0,3143,11242.0
1995Q3,1530.0,9533.0,3207,11063.0
1995Q4,1434.0,8436.0,3030,9870.0
1996Q1,1491.0,8598.0,3159,10089.0
1996Q2,1302.0,8627.0,2782,9929.0
1996Q3,1474.0,8560.0,3147,10034.0
1996Q4,1479.0,8795.0,3134,10274.0
1997Q1,1568.0,8587.0,3142,10155.0
1997Q2,1446.0,9175.0,3214,10621.0
1997Q3,1444.0,9191.0,3151,10635.0
1997Q4,1507.0,8603.0,3198,10110.0
1998Q1,1486.0,8452.0,3113,9938.0
1998Q2,1337.0,8695.0,3047,10032.0
1998Q3,1416.0,8752.0,3097,10168.0
1998Q4,1353.0,8598.0,3064,9951.0
1999Q1,1366.0,7950.0,2930,9316.0
1999Q2,1208.0,8245.0,2832,9453.0
1999Q3,1312.0,8772.0,2878,10084.0
1999Q4,1338.0,8360.0,3068,9698.0
2000Q1,1424.0,8324.0,3018,9748.0
2000Q2,1313.0,8897.0,2892,10210.0
2000Q3,1244.0,8487.0,2706,9731.0
2000Q4,1249.0,8657.0,2731,9906.0
2001Q1,1344.0,8555.0,2976,9899.0
2001Q2,1178.0,8880.0,2666,10058.0
2001Q3,1320.0,9080.0,2961,10400.0
2001Q4,1364.0,9367.0,2966,10731.0
2002Q1,1354.0,8946.0,2916,10300.0
2002Q2,1303.0,9644.0,2797,10947.0
2002Q3,1423.0,9896.0,2999,11319.0
2002Q4,1542.0,10231.0,3041,11773.0
2003Q1,1527.0,10218.0,3060,11745.0
2003Q2,1551.0,10621.0,3106,12172.0
2003Q3,1627.0,11113.0,3387,12740.0
2003Q4,1731.0,10495.0,3364,12226.0
2004Q1,1611.0,10736.0,3253,12347.0
2004Q2,1708.0,11301.0,3344,13009.0
2004Q3,1783.0,11904.0,3611,13687.0
2004Q4,1914.0,11351.0,3622,13265.0
2005Q1,1889.0,10762.0,3612,12651.0
2005Q2,1876.0,11532.0,3850,13408.0
2005Q3,1677.0,11406.0,3482,13083.0
2005Q4,1823.0,10939.0,3706,12762.0
2006Q1,1777.0,10270.0,3622,12047.0
2006Q2,1721.0,11031.0,3708,12752.0
2006Q3,1620.0,11299.0,3562,12919.0
2006Q4,1701.0,10047.0,3641,11748.0
