Quarter,England
1975Q1,24364.8
1975Q2,35193.6
1975Q3,35024.4
1975Q4,31640.399999999998
1976Q1,31471.2
1976Q2,39339.0
1976Q3,36208.799999999996
1976Q4,23772.6
1977Q1,22165.2
1977Q2,32232.6
1977Q3,33078.6
1977Q4,26564.399999999998
1978Q1,25880.0
1978Q2,39760.0
1978Q3,34490.0
1978Q4,33450.0
1979Q1,19060.0
1979Q2,33300.0
1979Q3,34260.0
1979Q4,34510.0
1980Q1,20470.0
1980Q2,25210.0
1980Q3,20120.0
1980Q4,17500.0
1981Q1,22790.0
1981Q2,27720.0
1981Q3,27830.0
1981Q4,21270.0
1982Q1,27730.0
1982Q2,33340.0
1982Q3,33340.0
1982Q4,28050.0
1983Q1,34450.0
1983Q2,41890.0
1983Q3,38600.0
1983Q4,32900.0
1984Q1,31910.0
1984Q2,37980.0
1984Q3,34830.0
1984Q4,28690.0
1985Q1,28470.0
1985Q2,39720.0
1985Q3,39110.0
1985Q4,33810.0
1986Q1,30860.0
1986Q2,44470.0
1986Q3,43910.0
1986Q4,34750.0
1987Q1,39030.0
1987Q2,44760.0
1987Q3,47370.0
1987Q4,40040.0
1988Q1,45040.0
1988Q2,54280.0
1988Q3,49640.0
1988Q4,44520.0
1989Q1,40220.0
1989Q2,41780.0
1989Q3,33390.0
1989Q4,26070.0
1990Q1,29470.0
1990Q2,30440.0
1990Q3,28310.0
1990Q4,24510.0
1991Q1,25700.0
1991Q2,32500.0
1991Q3,31460.0
1991Q4,24650.0
1992Q1,26940.0
1992Q2,28910.0
1992Q3,24510.0
1992Q4,19230.0
1993Q1,29110.0
1993Q2,31560.0
1993Q3,30130.0
1993Q4,25660.0
1994Q1,32590.0
1994Q2,36980.0
1994Q3,33470.0
1994Q4,28360.0
1995Q1,29220.0
1995Q2,33040.0
1995Q3,27280.0
1995Q4,20870.0
1996Q1,26960.0
1996Q2,31590.0
1996Q3,33100.0
1996Q4,29940.0
1997Q1,35320.0
1997Q2,35360.0
1997Q3,34340.0
1997Q4,31060.0
1998Q1,35530.0
1998Q2,34770.0
1998Q3,34240.0
1998Q4,27270.0
1999Q1,32760.0
1999Q2,34240.0
1999Q3,33540.0
1999Q4,29750.0
2000Q1,35210.0
2000Q2,34970.0
2000Q3,32830.0
2000Q4,25460.0
2001Q1,33020.0
2001Q2,35720.0
2001Q3,35390.0
2001Q4,29190.0
2002Q1,35070.0
2002Q2,34840.0
2002Q3,36650.0
2002Q4,29410.0
2003Q1,37790.0
2003Q2,37580.0
2003Q3,36540.0
2003Q4,33480.0
2004Q1,38210.0
2004Q2,43020.0
2004Q3,41310.0
2004Q4,34610.0
2005Q1,35380.0
2005Q2,40820.0
2005Q3,39940.0
2005Q4,36660.0
2006Q1,42900.0
2006Q2,38900.0
2006Q3,36420.0
2006Q4,30990.0
2007Q1,43040.0
2007Q2,41470.0
2007Q3,40440.0
2007Q4,34950.0
2008Q1,29290.0
2008Q2,25400.0
2008Q3,15670.0
2008Q4,12010.0
2009Q1,12490.0
2009Q2,15360.0
2009Q3,20160.0
2009Q4,16990.0
2010Q1,21260.0
2010Q2,24930.0
2010Q3,22400.0
2010Q4,16270.0
2011Q1,21120.0
2011Q2,23390.0
2011Q3,23660.0
2011Q4,19620.0
2012Q1,20630.0
2012Q2,19820.0
2012Q3,22230.0
2012Q4,17580.0
2013Q1,22350.0
2013Q2,26420.0
2013Q3,28370.0
2013Q4,21680.0
2014Q1,30870.0
2014Q2,30170.0
2014Q3,29220.0
2014Q4,21530.0
2015Q1,33630.0
2015Q2,30450.0
2015Q3,30810.0
2015Q4,25700.0
2016Q1,30500.0
2016Q2,33490.0
2016Q3,35870.0
2016Q4,28300.0
2017Q1,34940.0
2017Q2,35730.0
2017Q3,34020.0
2017Q4,30610.0
2018Q1,34990.0
2018Q2,34720.0
2018Q3,39380.0
2018Q4,29100.0
2019Q1,31900.0
2019Q2,31830.0
2019Q3,35350.0
2019Q4,23980.0
2020Q1,28050.0
2020Q2,13560.0
2020Q3,31460.0
2020Q4,29380.0
2021Q1,37160.0
2021Q2,37720.0
2021Q3,38530.0
2021Q4,28770.0
2022Q1,35670.0
2022Q2,46910.0
2022Q3,35310.0
2022Q4,24880.0
2023Q1,28840.0
2023Q2,53690.0
2023Q3,17530.0
2023Q4,12800.0
2024Q1,17100.0
2024Q2,18690.0
2024Q3,21440.0
2024Q4,18780.0
2025Q1,21960.0
2025Q2,23360.0
2025Q3,22880.0
2025Q4,25380.0
