Date,SUM,England,Wales,Scotland
1975Q1,28800.0,,,
1975Q2,41600.0,,,
1975Q3,41400.0,,,
1975Q4,37400.0,,,
1976Q1,37200.0,,,
1976Q2,46500.0,,,
1976Q3,42800.0,,,
1976Q4,28100.0,,,
1977Q1,26200.0,,,
1977Q2,38100.0,,,
1977Q3,39100.0,,,
1977Q4,31400.0,,,
1978Q1,30390.0,25880.0,1490.0,3020.0
1978Q2,46510.0,39760.0,2110.0,4640.0
1978Q3,41310.0,34490.0,1780.0,5040.0
1978Q4,39100.0,33450.0,1790.0,3860.0
1979Q1,23320.0,19060.0,1460.0,2800.0
1979Q2,40050.0,33300.0,2100.0,4650.0
1979Q3,41250.0,34260.0,2550.0,4440.0
1979Q4,39390.0,34510.0,1470.0,3410.0
1980Q1,24530.0,20470.0,1300.0,2760.0
1980Q2,29440.0,25210.0,1480.0,2750.0
1980Q3,23370.0,20120.0,1030.0,2220.0
1980Q4,20670.0,17500.0,1220.0,1950.0
1981Q1,26290.0,22790.0,830.0,2670.0
1981Q2,32240.0,27720.0,1330.0,3190.0
1981Q3,32080.0,27830.0,1340.0,2910.0
1981Q4,24520.0,21270.0,990.0,2260.0
1982Q1,31770.0,27730.0,980.0,3060.0
1982Q2,38120.0,33340.0,1420.0,3360.0
1982Q3,38000.0,33340.0,1650.0,3010.0
1982Q4,32140.0,28050.0,1390.0,2700.0
1983Q1,39890.0,34450.0,1720.0,3720.0
1983Q2,47850.0,41890.0,1730.0,4230.0
1983Q3,43730.0,38600.0,1450.0,3680.0
1983Q4,37780.0,32900.0,1320.0,3560.0
1984Q1,37090.0,31910.0,1280.0,3900.0
1984Q2,43670.0,37980.0,1620.0,4070.0
1984Q3,40180.0,34830.0,1380.0,3970.0
1984Q4,32700.0,28690.0,1330.0,2680.0
1985Q1,33640.0,28470.0,1710.0,3460.0
1985Q2,45460.0,39720.0,2180.0,3560.0
1985Q3,44650.0,39110.0,1600.0,3940.0
1985Q4,38690.0,33810.0,1740.0,3140.0
1986Q1,35890.0,30860.0,1440.0,3590.0
1986Q2,50150.0,44470.0,2110.0,3570.0
1986Q3,49990.0,43910.0,2160.0,3920.0
