,0
1975Q1,193500
1975Q2,226500
1975Q3,236250
1975Q4,224250
1976Q1,201750
1976Q2,222750
1976Q3,237000
1976Q4,231000
1977Q1,196500
1977Q2,225750
1977Q3,249750
1977Q4,257250
1978Q1,248250
1978Q2,263250
1978Q3,261750
1978Q4,250500
1979Q1,229500
1979Q2,235500
1979Q3,258750
1979Q4,255750
1980Q1,234000
1980Q2,246000
1980Q3,231000
1980Q4,239250
1981Q1,216000
1981Q2,246000
1981Q3,263250
1981Q4,288000
1982Q1,240000
1982Q2,276000
1982Q3,318000
1982Q4,321750
1983Q1,302250
1983Q2,308250
1983Q3,323250
1983Q4,318000
1984Q1,318000
1984Q2,320250
1984Q3,342000
1984Q4,339000
1985Q1,303000
1985Q2,325500
1985Q3,346500
1985Q4,331500
1986Q1,292500
1986Q2,313500
1986Q3,374250
1986Q4,370500
1987Q1,321750
1987Q2,329250
1987Q3,400500
1987Q4,401250
1988Q1,365250
1988Q2,388500
1988Q3,462000
1988Q4,395250
1989Q1,305250
1989Q2,303750
1989Q3,292500
1989Q4,283500
1990Q1,258000
1990Q2,270000
1990Q3,261750
1990Q4,258750
1991Q1,235500
1991Q2,243000
1991Q3,264750
1991Q4,236250
1992Q1,177000
1992Q2,198750
1992Q3,275250
1992Q4,201000
1993Q1,179250
1993Q2,209250
1993Q3,260250
1993Q4,248250
1994Q1,224250
1994Q2,234000
1994Q3,258750
1994Q4,239250
1995Q1,213000
1995Q2,210000
1995Q3,223500
1995Q4,204000
1996Q1,185027.0
1996Q2,238478.0
1996Q3,279743.0
1996Q4,290748.0
1997Q1,228736.0
1997Q2,289049.0
1997Q3,316937.0
1997Q4,289365
1998Q1,218153.0
1998Q2,279969
1998Q3,302169.0
1998Q4,277514.0
1999Q1,223665.0
1999Q2,301576.0
1999Q3,356486.0
1999Q4,339438.0
2000Q1,254869.0
2000Q2,307589.0
2000Q3,300317.0
2000Q4,276762.0
2001Q1,237527.0
2001Q2,319982.0
2001Q3,358008.0
2001Q4,321202.0
2002Q1,265452.0
2002Q2,351965.0
2002Q3,375381.0
2002Q4,334638.0
2003Q1,227137.0
2003Q2,283270.0
2003Q3,337391.0
2003Q4,363269.0
2004Q1,285822.0
2004Q2,352582.0
2004Q3,333895.0
2004Q4,255532.0
2005Q1,182159.0
2005Q2,256967.0
2005Q3,293065.0
2005Q4,289162.0
2006Q1,255467.0
2006Q2,318101.0
2006Q3,352665.0
2006Q4,355502.0
2007Q1,282548.0
2007Q2,332124.0
2007Q3,344866.0
2007Q4,288234.0
2008Q1,181871.0
2008Q2,190990.0
2008Q3,145427.0
2008Q4,122588
2009Q1,91786
2009Q2,138668
2009Q3,179754
2009Q4,205477
2010Q1,129859
2010Q2,167516
2010Q3,186774
2010Q4,172287
2011Q1,124275
2011Q2,157696
2011Q3,190826
2011Q4,182405
2012Q1,149958
2012Q2,155532
2012Q3,177203
2012Q4,179752
2013Q1,142879
2013Q2,183840
2013Q3,224015
2013Q4,245574
2014Q1,204451
2014Q2,236210
2014Q3,258916
2014Q4,245250
2015Q1,188066
2015Q2,227262
2015Q3,264120
2015Q4,260052
2016Q1,256165
2016Q2,196787
2016Q3,245921
2016Q4,237149
2017Q1,202736
2017Q2,227935
2017Q3,250884
2017Q4,243961
2018Q1,194062
2018Q2,217095
2018Q3,240212
2018Q4,242014
2019Q1,186586
2019Q2,207233
2019Q3,234246
2019Q4,234740
2020Q1,180476
2020Q2,106105
2020Q3,181639
2020Q4,253724
2021Q1,302512
2021Q2,331628
2021Q3,262709
2021Q4,211890
2022Q1,210251
2022Q2,219489
2022Q3,247694
2022Q4,239261
2023Q1,166276
2023Q2,149994
2023Q3,177893
2023Q4,171221
2024Q1,150630
2024Q2,174849
2024Q3,208905
2024Q4,220995
2025Q1,248423
2025Q2,150018
2025Q3,185667
2025Q4,164848
