"Title","Implied GDP deflator at market prices: SA Index"
"CDID","L8GG"
"Source dataset ID","PN2"
"PreUnit",""
"Unit","Index, last full year = 100"
"Release date","14-05-2026"
"Next release","30 June 2026"
"Important notes",
"1955 Q1","2.9526"
"1955 Q2","2.9646"
"1955 Q3","3.0238"
"1955 Q4","3.0994"
"1956 Q1","3.1427"
"1956 Q2","3.1879"
"1956 Q3","3.2411"
"1956 Q4","3.3038"
"1957 Q1","3.2507"
"1957 Q2","3.3007"
"1957 Q3","3.3924"
"1957 Q4","3.4476"
"1958 Q1","3.4416"
"1958 Q2","3.4838"
"1958 Q3","3.4685"
"1958 Q4","3.4872"
"1959 Q1","3.4726"
"1959 Q2","3.5310"
"1959 Q3","3.4713"
"1959 Q4","3.5066"
"1960 Q1","3.4773"
"1960 Q2","3.5336"
"1960 Q3","3.5326"
"1960 Q4","3.5844"
"1961 Q1","3.6145"
"1961 Q2","3.6001"
"1961 Q3","3.7426"
"1961 Q4","3.7061"
"1962 Q1","3.7400"
"1962 Q2","3.7961"
"1962 Q3","3.8120"
"1962 Q4","3.8427"
"1963 Q1","3.7989"
"1963 Q2","3.8326"
"1963 Q3","3.8741"
"1963 Q4","3.9069"
"1964 Q1","3.8931"
"1964 Q2","3.9589"
"1964 Q3","4.0319"
"1964 Q4","4.0791"
"1965 Q1","4.1667"
"1965 Q2","4.1840"
"1965 Q3","4.2532"
"1965 Q4","4.3082"
"1966 Q1","4.3657"
"1966 Q2","4.4154"
"1966 Q3","4.4840"
"1966 Q4","4.5494"
"1967 Q1","4.5327"
"1967 Q2","4.5826"
"1967 Q3","4.5944"
"1967 Q4","4.6299"
"1968 Q1","4.6661"
"1968 Q2","4.7418"
"1968 Q3","4.7987"
"1968 Q4","4.9032"
"1969 Q1","4.9967"
"1969 Q2","5.0343"
"1969 Q3","5.1182"
"1969 Q4","5.2268"
"1970 Q1","5.4039"
"1970 Q2","5.5104"
"1970 Q3","5.6364"
"1970 Q4","5.7865"
"1971 Q1","5.9002"
"1971 Q2","5.9940"
"1971 Q3","6.0823"
"1971 Q4","6.2109"
"1972 Q1","6.2749"
"1972 Q2","6.4041"
"1972 Q3","6.5233"
"1972 Q4","6.8119"
"1973 Q1","6.9114"
"1973 Q2","6.8395"
"1973 Q3","7.1415"
"1973 Q4","7.4324"
"1974 Q1","7.5794"
"1974 Q2","8.0090"
"1974 Q3","8.3994"
"1974 Q4","8.9155"
"1975 Q1","9.5620"
"1975 Q2","10.1961"
"1975 Q3","10.6378"
"1975 Q4","11.1069"
"1976 Q1","11.4751"
"1976 Q2","11.7996"
"1976 Q3","12.0847"
"1976 Q4","12.5661"
"1977 Q1","13.0227"
"1977 Q2","13.5281"
"1977 Q3","13.8158"
"1977 Q4","14.2008"
"1978 Q1","14.7273"
"1978 Q2","15.1427"
"1978 Q3","15.3629"
"1978 Q4","15.7758"
"1979 Q1","16.3258"
"1979 Q2","16.7321"
"1979 Q3","17.9977"
"1979 Q4","18.7637"
"1980 Q1","19.6787"
"1980 Q2","20.5901"
"1980 Q3","21.3641"
"1980 Q4","22.2896"
"1981 Q1","22.8937"
"1981 Q2","23.2941"
"1981 Q3","23.6822"
"1981 Q4","24.3920"
"1982 Q1","24.9475"
"1982 Q2","25.1739"
"1982 Q3","25.5742"
"1982 Q4","26.1078"
"1983 Q1","26.5576"
"1983 Q2","26.5480"
"1983 Q3","26.9602"
"1983 Q4","27.3823"
"1984 Q1","27.4432"
"1984 Q2","28.2573"
"1984 Q3","28.4819"
"1984 Q4","28.8893"
"1985 Q1","29.0396"
"1985 Q2","29.5174"
"1985 Q3","30.0841"
"1985 Q4","30.5431"
"1986 Q1","30.7686"
"1986 Q2","30.8722"
"1986 Q3","31.2133"
"1986 Q4","31.6611"
"1987 Q1","32.0786"
"1987 Q2","32.5730"
"1987 Q3","33.1956"
"1987 Q4","33.5184"
"1988 Q1","33.8629"
"1988 Q2","34.5329"
"1988 Q3","35.1495"
"1988 Q4","35.9024"
"1989 Q1","36.6312"
"1989 Q2","37.0522"
"1989 Q3","37.9977"
"1989 Q4","38.9834"
"1990 Q1","39.6811"
"1990 Q2","40.3021"
"1990 Q3","41.5638"
"1990 Q4","41.9927"
"1991 Q1","42.7522"
"1991 Q2","43.4496"
"1991 Q3","43.8931"
"1991 Q4","44.4100"
"1992 Q1","44.8785"
"1992 Q2","45.0573"
"1992 Q3","45.0063"
"1992 Q4","45.2595"
"1993 Q1","46.1502"
"1993 Q2","45.9995"
"1993 Q3","46.4805"
"1993 Q4","46.9692"
"1994 Q1","47.1882"
"1994 Q2","46.9708"
"1994 Q3","47.1054"
"1994 Q4","47.7627"
"1995 Q1","47.8948"
"1995 Q2","48.2750"
"1995 Q3","48.6165"
"1995 Q4","49.1863"
"1996 Q1","49.6609"
"1996 Q2","50.5732"
"1996 Q3","50.9483"
"1996 Q4","50.8229"
"1997 Q1","50.0154"
"1997 Q2","50.2927"
"1997 Q3","51.5473"
"1997 Q4","50.2288"
"1998 Q1","50.8152"
"1998 Q2","50.9449"
"1998 Q3","51.3252"
"1998 Q4","51.6853"
"1999 Q1","51.7794"
"1999 Q2","51.9367"
"1999 Q3","51.7709"
"1999 Q4","52.1397"
"2000 Q1","52.4316"
"2000 Q2","52.3518"
"2000 Q3","52.4082"
"2000 Q4","52.4661"
"2001 Q1","52.9091"
"2001 Q2","53.4131"
"2001 Q3","53.4823"
"2001 Q4","53.4400"
"2002 Q1","54.0127"
"2002 Q2","54.3005"
"2002 Q3","54.5040"
"2002 Q4","54.8764"
"2003 Q1","55.0745"
"2003 Q2","55.6409"
"2003 Q3","55.9887"
"2003 Q4","56.1724"
"2004 Q1","56.3199"
"2004 Q2","57.2201"
"2004 Q3","57.2662"
"2004 Q4","58.1615"
"2005 Q1","58.1553"
"2005 Q2","58.9852"
"2005 Q3","59.0861"
"2005 Q4","59.2951"
"2006 Q1","59.7766"
"2006 Q2","60.5929"
"2006 Q3","61.1643"
"2006 Q4","61.2419"
"2007 Q1","61.2713"
"2007 Q2","62.1876"
"2007 Q3","62.0747"
"2007 Q4","62.0772"
"2008 Q1","62.7091"
"2008 Q2","63.5161"
"2008 Q3","64.4880"
"2008 Q4","65.1514"
"2009 Q1","65.1753"
"2009 Q2","65.2597"
"2009 Q3","65.5185"
"2009 Q4","64.9871"
"2010 Q1","65.9070"
"2010 Q2","65.9501"
"2010 Q3","66.0919"
"2010 Q4","66.4524"
"2011 Q1","67.6299"
"2011 Q2","67.2593"
"2011 Q3","67.8041"
"2011 Q4","68.2577"
"2012 Q1","68.4845"
"2012 Q2","68.5281"
"2012 Q3","68.8726"
"2012 Q4","69.2560"
"2013 Q1","69.8615"
"2013 Q2","69.9658"
"2013 Q3","70.5449"
"2013 Q4","70.6982"
"2014 Q1","71.0617"
"2014 Q2","71.0083"
"2014 Q3","71.8671"
"2014 Q4","71.6199"
"2015 Q1","71.7655"
"2015 Q2","71.6435"
"2015 Q3","71.8592"
"2015 Q4","72.2063"
"2016 Q1","72.5391"
"2016 Q2","72.6543"
"2016 Q3","73.3998"
"2016 Q4","73.8607"
"2017 Q1","74.1117"
"2017 Q2","74.0971"
"2017 Q3","74.0992"
"2017 Q4","74.6645"
"2018 Q1","74.8891"
"2018 Q2","75.5023"
"2018 Q3","75.8819"
"2018 Q4","76.5282"
"2019 Q1","76.6241"
"2019 Q2","77.4287"
"2019 Q3","77.8909"
"2019 Q4","78.3090"
"2020 Q1","78.9433"
"2020 Q2","84.7951"
"2020 Q3","81.3985"
"2020 Q4","80.8187"
"2021 Q1","81.8943"
"2021 Q2","80.9601"
"2021 Q3","81.8519"
"2021 Q4","82.8642"
"2022 Q1","84.0167"
"2022 Q2","85.7337"
"2022 Q3","87.1127"
"2022 Q4","89.3153"
