"Title","Implied GDP deflator at market prices: SA Index"
"CDID","L8GG"
"Source dataset ID","PN2"
"PreUnit",""
"Unit","Index, last full year = 100"
"Release date","12-02-2026"
"Next release","31 March 2026"
"Important notes",
"1955 Q1","3.0567"
"1955 Q2","3.0691"
"1955 Q3","3.1305"
"1955 Q4","3.2087"
"1956 Q1","3.2536"
"1956 Q2","3.3004"
"1956 Q3","3.3555"
"1956 Q4","3.4203"
"1957 Q1","3.3654"
"1957 Q2","3.4171"
"1957 Q3","3.5121"
"1957 Q4","3.5692"
"1958 Q1","3.5630"
"1958 Q2","3.6067"
"1958 Q3","3.5908"
"1958 Q4","3.6102"
"1959 Q1","3.5951"
"1959 Q2","3.6556"
"1959 Q3","3.5937"
"1959 Q4","3.6303"
"1960 Q1","3.5999"
"1960 Q2","3.6582"
"1960 Q3","3.6572"
"1960 Q4","3.7108"
"1961 Q1","3.7420"
"1961 Q2","3.7271"
"1961 Q3","3.8747"
"1961 Q4","3.8368"
"1962 Q1","3.8720"
"1962 Q2","3.9301"
"1962 Q3","3.9465"
"1962 Q4","3.9783"
"1963 Q1","3.9329"
"1963 Q2","3.9678"
"1963 Q3","4.0108"
"1963 Q4","4.0447"
"1964 Q1","4.0305"
"1964 Q2","4.0986"
"1964 Q3","4.1741"
"1964 Q4","4.2230"
"1965 Q1","4.3137"
"1965 Q2","4.3316"
"1965 Q3","4.4032"
"1965 Q4","4.4602"
"1966 Q1","4.5197"
"1966 Q2","4.5712"
"1966 Q3","4.6422"
"1966 Q4","4.7099"
"1967 Q1","4.6927"
"1967 Q2","4.7443"
"1967 Q3","4.7565"
"1967 Q4","4.7932"
"1968 Q1","4.8307"
"1968 Q2","4.9091"
"1968 Q3","4.9680"
"1968 Q4","5.0762"
"1969 Q1","5.1730"
"1969 Q2","5.2119"
"1969 Q3","5.2988"
"1969 Q4","5.4112"
"1970 Q1","5.5945"
"1970 Q2","5.7049"
"1970 Q3","5.8353"
"1970 Q4","5.9906"
"1971 Q1","6.1083"
"1971 Q2","6.2055"
"1971 Q3","6.2969"
"1971 Q4","6.4300"
"1972 Q1","6.4962"
"1972 Q2","6.6300"
"1972 Q3","6.7534"
"1972 Q4","7.0523"
"1973 Q1","7.1552"
"1973 Q2","7.0808"
"1973 Q3","7.3934"
"1973 Q4","7.6946"
"1974 Q1","7.8468"
"1974 Q2","8.2916"
"1974 Q3","8.6957"
"1974 Q4","9.2300"
"1975 Q1","9.8994"
"1975 Q2","10.5558"
"1975 Q3","11.0131"
"1975 Q4","11.4987"
"1976 Q1","11.8799"
"1976 Q2","12.2159"
"1976 Q3","12.5111"
"1976 Q4","13.0094"
"1977 Q1","13.4821"
"1977 Q2","14.0054"
"1977 Q3","14.3032"
"1977 Q4","14.7018"
"1978 Q1","15.2468"
"1978 Q2","15.6770"
"1978 Q3","15.9049"
"1978 Q4","16.3324"
"1979 Q1","16.9018"
"1979 Q2","17.3225"
"1979 Q3","18.6327"
"1979 Q4","19.4257"
"1980 Q1","20.3730"
"1980 Q2","21.3165"
"1980 Q3","22.1178"
"1980 Q4","23.0760"
"1981 Q1","23.7014"
"1981 Q2","24.1160"
"1981 Q3","24.5177"
"1981 Q4","25.2525"
"1982 Q1","25.8276"
"1982 Q2","26.0621"
"1982 Q3","26.4764"
"1982 Q4","27.0289"
"1983 Q1","27.4946"
"1983 Q2","27.4846"
"1983 Q3","27.9114"
"1983 Q4","28.3484"
"1984 Q1","28.4114"
"1984 Q2","29.2543"
"1984 Q3","29.4868"
"1984 Q4","29.9085"
"1985 Q1","30.0642"
"1985 Q2","30.5588"
"1985 Q3","31.1455"
"1985 Q4","31.6206"
"1986 Q1","31.8541"
"1986 Q2","31.9614"
"1986 Q3","32.3146"
"1986 Q4","32.7782"
"1987 Q1","33.2103"
"1987 Q2","33.7222"
"1987 Q3","34.3667"
"1987 Q4","34.7009"
"1988 Q1","35.0576"
"1988 Q2","35.7513"
"1988 Q3","36.3896"
"1988 Q4","37.1690"
"1989 Q1","37.9236"
"1989 Q2","38.3594"
"1989 Q3","39.3383"
"1989 Q4","40.3588"
"1990 Q1","41.0810"
"1990 Q2","41.7240"
"1990 Q3","43.0302"
"1990 Q4","43.4742"
"1991 Q1","44.2605"
"1991 Q2","44.9826"
"1991 Q3","45.4417"
"1991 Q4","45.9768"
"1992 Q1","46.4619"
"1992 Q2","46.6469"
"1992 Q3","46.5942"
"1992 Q4","46.8563"
"1993 Q1","47.7784"
"1993 Q2","47.6224"
"1993 Q3","48.1204"
"1993 Q4","48.6263"
"1994 Q1","48.8530"
"1994 Q2","48.6279"
"1994 Q3","48.7673"
"1994 Q4","49.4478"
"1995 Q1","49.5845"
"1995 Q2","49.9782"
"1995 Q3","50.3317"
"1995 Q4","50.9216"
"1996 Q1","51.4130"
"1996 Q2","52.3575"
"1996 Q3","52.7458"
"1996 Q4","52.6159"
"1997 Q1","51.7800"
"1997 Q2","52.0671"
"1997 Q3","53.3659"
"1997 Q4","52.0010"
"1998 Q1","52.6080"
"1998 Q2","52.7423"
"1998 Q3","53.1360"
"1998 Q4","53.5088"
"1999 Q1","53.6062"
"1999 Q2","53.7690"
"1999 Q3","53.5974"
"1999 Q4","53.9792"
"2000 Q1","54.2814"
"2000 Q2","54.1988"
"2000 Q3","54.2572"
"2000 Q4","54.3172"
"2001 Q1","54.7758"
"2001 Q2","55.2976"
"2001 Q3","55.3692"
"2001 Q4","55.3254"
"2002 Q1","55.9183"
"2002 Q2","56.2163"
"2002 Q3","56.4270"
"2002 Q4","56.8125"
"2003 Q1","57.0176"
"2003 Q2","57.6039"
"2003 Q3","57.9640"
"2003 Q4","58.1542"
"2004 Q1","58.3069"
"2004 Q2","59.2389"
"2004 Q3","59.2866"
"2004 Q4","60.2135"
"2005 Q1","60.2071"
"2005 Q2","61.0662"
"2005 Q3","61.1707"
"2005 Q4","61.3870"
"2006 Q1","61.8855"
"2006 Q2","62.7307"
"2006 Q3","63.3223"
"2006 Q4","63.4025"
"2007 Q1","63.4330"
"2007 Q2","64.3816"
"2007 Q3","64.2647"
"2007 Q4","64.2673"
"2008 Q1","64.9215"
"2008 Q2","65.7570"
"2008 Q3","66.7632"
"2008 Q4","67.4500"
"2009 Q1","67.4747"
"2009 Q2","67.5621"
"2009 Q3","67.8300"
"2009 Q4","67.2799"
"2010 Q1","68.2323"
"2010 Q2","68.2769"
"2010 Q3","68.4237"
"2010 Q4","68.7969"
"2011 Q1","70.0159"
"2011 Q2","69.6323"
"2011 Q3","70.1962"
"2011 Q4","70.6659"
"2012 Q1","70.9007"
"2012 Q2","70.9458"
"2012 Q3","71.3025"
"2012 Q4","71.6994"
"2013 Q1","72.3262"
"2013 Q2","72.4342"
"2013 Q3","73.0338"
"2013 Q4","73.1925"
"2014 Q1","73.5688"
"2014 Q2","73.5136"
"2014 Q3","74.4026"
"2014 Q4","74.1467"
"2015 Q1","74.2974"
"2015 Q2","74.1711"
"2015 Q3","74.3945"
"2015 Q4","74.7538"
"2016 Q1","75.0983"
"2016 Q2","75.2176"
"2016 Q3","75.9894"
"2016 Q4","76.4666"
"2017 Q1","76.7264"
"2017 Q2","76.7113"
"2017 Q3","76.7134"
"2017 Q4","77.2987"
"2018 Q1","77.5313"
"2018 Q2","78.1661"
"2018 Q3","78.5590"
"2018 Q4","79.2282"
"2019 Q1","79.3275"
"2019 Q2","80.1605"
"2019 Q3","80.6389"
"2019 Q4","81.0718"
"2020 Q1","81.7285"
"2020 Q2","87.7868"
"2020 Q3","84.2703"
"2020 Q4","83.6700"
"2021 Q1","84.7835"
"2021 Q2","83.8164"
"2021 Q3","84.7397"
"2021 Q4","85.7878"
"2022 Q1","86.9808"
"2022 Q2","88.7584"
"2022 Q3","90.1861"
"2022 Q4","92.4664"
