"Title","HH & NPISH (S.14 + S.15): Disposable income, gross (B.6g): Uses/Resources: Current price: £m: SA"
"CDID","RPHQ"
"Source dataset ID","UKEA"
"PreUnit","£"
"Unit","m"
"Release date","31-03-2026"
"Next release","30 June 2026"
"Important notes",
"1948","8235"
"1949","8664"
"1950","9188"
"1951","9937"
"1952","10688"
"1953","11467"
"1954","12078"
"1955","13107"
"1956","14100"
"1957","14840"
"1958","15566"
"1959","16565"
"1960","17883"
"1961","19209"
"1962","20188"
"1963","21371"
"1964","23160"
"1965","24915"
"1966","26533"
"1967","27730"
"1968","29683"
"1969","31801"
"1970","35150"
"1971","38822"
"1972","45092"
"1973","52440"
"1974","61574"
"1975","76596"
"1976","89178"
"1977","100757"
"1978","118851"
"1979","143308"
"1980","170398"
"1981","191360"
"1982","209806"
"1983","226997"
"1984","247814"
"1985","269034"
"1986","292095"
"1987","308544"
"1988","341617"
"1989","379456"
"1990","424197"
"1991","465139"
"1992","496994"
"1993","527363"
"1994","546235"
"1995","579311"
"1996","615831"
"1997","640021"
"1998","654745"
"1999","688023"
"2000","728537"
"2001","761188"
"2002","785771"
"2003","814318"
"2004","853679"
"2005","892146"
"2006","936606"
"2007","989024"
"2008","1024014"
"2009","1050092"
"2010","1070069"
"2011","1084990"
"2012","1130017"
"2013","1175937"
"2014","1217891"
"2015","1287116"
"2016","1312733"
"2017","1348375"
"2018","1402614"
"2019","1456540"
"2020","1454341"
"2021","1519777"
"2022","1613529"
"2023","1740150"
"2024","1863165"
"2025","1950418"
"1955 Q1","3181"
"1955 Q2","3243"
"1955 Q3","3328"
"1955 Q4","3355"
"1956 Q1","3457"
"1956 Q2","3502"
"1956 Q3","3560"
"1956 Q4","3581"
"1957 Q1","3636"
"1957 Q2","3685"
"1957 Q3","3740"
"1957 Q4","3779"
"1958 Q1","3863"
"1958 Q2","3864"
"1958 Q3","3907"
"1958 Q4","3932"
"1959 Q1","4021"
"1959 Q2","4132"
"1959 Q3","4174"
"1959 Q4","4238"
"1960 Q1","4333"
"1960 Q2","4442"
"1960 Q3","4511"
"1960 Q4","4597"
"1961 Q1","4675"
"1961 Q2","4802"
"1961 Q3","4864"
"1961 Q4","4868"
"1962 Q1","4933"
"1962 Q2","5003"
"1962 Q3","5080"
"1962 Q4","5172"
"1963 Q1","5164"
"1963 Q2","5231"
"1963 Q3","5435"
"1963 Q4","5541"
"1964 Q1","5611"
"1964 Q2","5703"
"1964 Q3","5854"
"1964 Q4","5992"
"1965 Q1","6059"
"1965 Q2","6129"
"1965 Q3","6303"
"1965 Q4","6424"
"1966 Q1","6710"
"1966 Q2","6512"
"1966 Q3","6586"
"1966 Q4","6725"
"1967 Q1","6707"
"1967 Q2","6854"
"1967 Q3","7074"
"1967 Q4","7095"
"1968 Q1","7291"
"1968 Q2","7446"
"1968 Q3","7384"
"1968 Q4","7562"
"1969 Q1","7808"
"1969 Q2","7915"
"1969 Q3","7947"
"1969 Q4","8131"
"1970 Q1","8324"
"1970 Q2","8753"
"1970 Q3","8911"
"1970 Q4","9162"
"1971 Q1","9190"
"1971 Q2","9678"
"1971 Q3","9842"
"1971 Q4","10112"
"1972 Q1","10508"
"1972 Q2","11291"
"1972 Q3","11366"
"1972 Q4","11927"
"1973 Q1","12421"
"1973 Q2","12851"
"1973 Q3","13249"
"1973 Q4","13919"
"1974 Q1","14269"
"1974 Q2","14695"
"1974 Q3","15882"
"1974 Q4","16728"
"1975 Q1","18230"
"1975 Q2","18612"
"1975 Q3","19562"
"1975 Q4","20192"
"1976 Q1","21293"
"1976 Q2","21565"
"1976 Q3","22873"
"1976 Q4","23447"
"1977 Q1","23881"
"1977 Q2","24505"
"1977 Q3","25435"
"1977 Q4","26936"
"1978 Q1","27792"
"1978 Q2","29139"
"1978 Q3","30460"
"1978 Q4","31460"
"1979 Q1","32875"
"1979 Q2","34154"
"1979 Q3","36480"
"1979 Q4","39799"
"1980 Q1","40288"
"1980 Q2","41816"
"1980 Q3","43431"
"1980 Q4","44863"
"1981 Q1","46552"
"1981 Q2","47037"
"1981 Q3","47926"
"1981 Q4","49845"
"1982 Q1","50840"
"1982 Q2","52383"
"1982 Q3","52619"
"1982 Q4","53964"
"1983 Q1","54519"
"1983 Q2","57141"
"1983 Q3","57125"
"1983 Q4","58212"
"1984 Q1","59968"
"1984 Q2","60268"
"1984 Q3","62686"
"1984 Q4","64892"
"1985 Q1","65480"
"1985 Q2","66632"
"1985 Q3","67725"
"1985 Q4","69197"
"1986 Q1","70514"
"1986 Q2","73923"
"1986 Q3","73312"
"1986 Q4","74346"
"1987 Q1","74094"
"1987 Q2","76511"
"1987 Q3","78235"
"1987 Q4","79704"
"1988 Q1","82215"
"1988 Q2","84759"
"1988 Q3","86499"
"1988 Q4","88144"
"1989 Q1","90474"
"1989 Q2","93308"
"1989 Q3","97419"
"1989 Q4","98255"
"1990 Q1","102854"
"1990 Q2","103835"
"1990 Q3","107073"
"1990 Q4","110435"
"1991 Q1","113157"
"1991 Q2","113736"
"1991 Q3","118541"
"1991 Q4","119705"
"1992 Q1","121830"
"1992 Q2","123642"
"1992 Q3","125256"
"1992 Q4","126266"
"1993 Q1","127279"
"1993 Q2","131715"
"1993 Q3","133430"
