"Title","HH & NPISH (S.14 + S.15): Real Households' & NPISH disposable income at chained volume measures (reference year 2023)(1):CP:£m:SA"
"CDID","NRJR"
"Source dataset ID","UKEA"
"PreUnit","£"
"Unit","m"
"Release date","31-03-2026"
"Next release","30 June 2026"
"Important notes",
"1948","275562"
"1949","282535"
"1950","291476"
"1951","288049"
"1952","294148"
"1953","308575"
"1954","318972"
"1955","333706"
"1956","341690"
"1957","347281"
"1958","354104"
"1959","372724"
"1960","397507"
"1961","414038"
"1962","419100"
"1963","435607"
"1964","454766"
"1965","463881"
"1966","473955"
"1967","480644"
"1968","488900"
"1969","493561"
"1970","511990"
"1971","519573"
"1972","564382"
"1973","600127"
"1974","595007"
"1975","599956"
"1976","599113"
"1977","588180"
"1978","631121"
"1979","668934"
"1980","680140"
"1981","679707"
"1982","682582"
"1983","697850"
"1984","723364"
"1985","753842"
"1986","784877"
"1987","794123"
"1988","837202"
"1989","880745"
"1990","915377"
"1991","934194"
"1992","959658"
"1993","984991"
"1994","1003216"
"1995","1033438"
"1996","1061145"
"1997","1082261"
"1998","1091321"
"1999","1138283"
"2000","1202414"
"2001","1245868"
"2002","1275228"
"2003","1303644"
"2004","1340203"
"2005","1373808"
"2006","1398855"
"2007","1455734"
"2008","1448377"
"2009","1471733"
"2010","1486258"
"2011","1450518"
"2012","1486025"
"2013","1512963"
"2014","1548542"
"2015","1642001"
"2016","1653979"
"2017","1669528"
"2018","1702200"
"2019","1742944"
"2020","1733465"
"2021","1762861"
"2022","1725226"
"2023","1740150"
"2024","1808439"
"2025","1828770"
"1955 Q1","82009"
"1955 Q2","83517"
"1955 Q3","84820"
"1955 Q4","83360"
"1956 Q1","85563"
"1956 Q2","84821"
"1956 Q3","85939"
"1956 Q4","85367"
"1957 Q1","86289"
"1957 Q2","86914"
"1957 Q3","87005"
"1957 Q4","87073"
"1958 Q1","88468"
"1958 Q2","88078"
"1958 Q3","88720"
"1958 Q4","88838"
"1959 Q1","90414"
"1959 Q2","93384"
"1959 Q3","94018"
"1959 Q4","94908"
"1960 Q1","97042"
"1960 Q2","98858"
"1960 Q3","100332"
"1960 Q4","101275"
"1961 Q1","102385"
"1961 Q2","104058"
"1961 Q3","104095"
"1961 Q4","103500"
"1962 Q1","103589"
"1962 Q2","103585"
"1962 Q3","105106"
"1962 Q4","106820"
"1963 Q1","106096"
"1963 Q2","107263"
"1963 Q3","110992"
"1963 Q4","111256"
"1964 Q1","112481"
"1964 Q2","113066"
"1964 Q3","114157"
"1964 Q4","115062"
"1965 Q1","114706"
"1965 Q2","114849"
"1965 Q3","116906"
"1965 Q4","117420"
"1966 Q1","122227"
"1966 Q2","117415"
"1966 Q3","116856"
"1966 Q4","117457"
"1967 Q1","117282"
"1967 Q2","119654"
"1967 Q3","122564"
"1967 Q4","121144"
"1968 Q1","123175"
"1968 Q2","123366"
"1968 Q3","121206"
"1968 Q4","121153"
"1969 Q1","122691"
"1969 Q2","123889"
"1969 Q3","123428"
"1969 Q4","123553"
"1970 Q1","124107"
"1970 Q2","129281"
"1970 Q3","129642"
"1970 Q4","128960"
"1971 Q1","125913"
"1971 Q2","130155"
"1971 Q3","131079"
"1971 Q4","132426"
"1972 Q1","135218"
"1972 Q2","143812"
"1972 Q3","141648"
"1972 Q4","143704"
"1973 Q1","147108"
"1973 Q2","150086"
"1973 Q3","151289"
"1973 Q4","151644"
"1974 Q1","147452"
"1974 Q2","145746"
"1974 Q3","151077"
"1974 Q4","150732"
"1975 Q1","153522"
"1975 Q2","148666"
"1975 Q3","150227"
"1975 Q4","147541"
"1976 Q1","149623"
"1976 Q2","147925"
"1976 Q3","152739"
"1976 Q4","148826"
"1977 Q1","144901"
"1977 Q2","143867"
"1977 Q3","146675"
"1977 Q4","152737"
"1978 Q1","152563"
"1978 Q2","156850"
"1978 Q3","160900"
"1978 Q4","160808"
"1979 Q1","163171"
"1979 Q2","166036"
"1979 Q3","166097"
"1979 Q4","173630"
"1980 Q1","168917"
"1980 Q2","169259"
"1980 Q3","171796"
"1980 Q4","170168"
"1981 Q1","171835"
"1981 Q2","169318"
"1981 Q3","168748"
"1981 Q4","169806"
"1982 Q1","168888"
"1982 Q2","171847"
"1982 Q3","170650"
"1982 Q4","171197"
"1983 Q1","170108"
"1983 Q2","176804"
"1983 Q3","175105"
"1983 Q4","175833"
"1984 Q1","178931"
"1984 Q2","176815"
"1984 Q3","181798"
"1984 Q4","185820"
"1985 Q1","187621"
"1985 Q2","188063"
"1985 Q3","188426"
"1985 Q4","189732"
"1986 Q1","192484"
"1986 Q2","199893"
"1986 Q3","196100"
"1986 Q4","196400"
"1987 Q1","193530"
"1987 Q2","197970"
"1987 Q3","200655"
"1987 Q4","201968"
"1988 Q1","205090"
"1988 Q2","208597"
"1988 Q3","210961"
"1988 Q4","212554"
"1989 Q1","215313"
"1989 Q2","218482"
"1989 Q3","224544"
"1989 Q4","222406"
"1990 Q1","228823"
"1990 Q2","226206"
"1990 Q3","228406"
"1990 Q4","231942"
"1991 Q1","233406"
"1991 Q2","229215"
"1991 Q3","236041"
"1991 Q4","235532"
"1992 Q1","237181"
"1992 Q2","239569"
"1992 Q3","241527"
"1992 Q4","241381"
"1993 Q1","239786"
"1993 Q2","246551"
"1993 Q3","248860"
"1993 Q4","249794"
"1994 Q1","248951"
"1994 Q2","248580"
"1994 Q3","253577"
"1994 Q4","252108"
"1995 Q1","256596"
"1995 Q2","256929"
"1995 Q3","259275"
"1995 Q4","260638"
"1996 Q1","265198"
"1996 Q2","265052"
"1996 Q3","267795"
"1996 Q4","263100"
"1997 Q1","266756"
"1997 Q2","269479"
"1997 Q3","273512"
