"Date","Quarterly number of total sterling approvals for house purchase to individuals seasonally adjusted              [a] [b]             LPQVTVX"
"31 Dec 25","190610"
"30 Sep 25","195270"
"30 Jun 25","188444"
"31 Mar 25","195917"
"31 Dec 24","200902"
"30 Sep 24","192362"
"30 Jun 24","183957"
"31 Mar 24","177669"
"31 Dec 23","150744"
"30 Sep 23","137999"
"30 Jun 23","154648"
"31 Mar 23","133891"
"31 Dec 22","145922"
"30 Sep 22","199250"
"30 Jun 22","195443"
"31 Mar 22","211085"
"31 Dec 21","210455"
"30 Sep 21","213778"
"30 Jun 21","250808"
"31 Mar 21","262631"
"31 Dec 20","312018"
"30 Sep 20","244293"
"30 Jun 20","65622"
"31 Mar 20","197308"
"31 Dec 19","200557"
"30 Sep 19","199449"
"30 Jun 19","198057"
"31 Mar 19","191443"
"31 Dec 18","197640"
"30 Sep 18","197503"
"30 Jun 18","194321"
"31 Mar 18","191957"
"31 Dec 17","193191"
"30 Sep 17","201733"
"30 Jun 17","198531"
"31 Mar 17","204159"
"31 Dec 16","204671"
"30 Sep 16","188284"
"30 Jun 16","202164"
"31 Mar 16","215085"
"31 Dec 15","211833"
"30 Sep 15","214212"
"30 Jun 15","202513"
"31 Mar 15","183191"
"31 Dec 14","180147"
"30 Sep 14","194299"
"30 Jun 14","195155"
"31 Mar 14","212380"
"31 Dec 13","210846"
"30 Sep 13","190800"
"30 Jun 13","174029"
"31 Mar 13","159339"
"31 Dec 12","159927"
"30 Sep 12","145691"
"30 Jun 12","149102"
"31 Mar 12","157218"
"31 Dec 11","155469"
"30 Sep 11","154722"
"30 Jun 11","142530"
"31 Mar 11","138715"
"31 Dec 10","134741"
"30 Sep 10","142793"
"30 Jun 10","149744"
"31 Mar 10","143553"
"31 Dec 09","171212"
"30 Sep 09","161622"
"30 Jun 09","143540"
"31 Mar 09","115289"
"31 Dec 08","89599"
"30 Sep 08","97965"
"30 Jun 08","133014"
"31 Mar 08","202879"
"31 Dec 07","240031"
"30 Sep 07","319824"
"30 Jun 07","337790"
"31 Mar 07","352208"
"31 Dec 06","373408"
"30 Sep 06","359414"
"30 Jun 06","344595"
"31 Mar 06","351326"
"31 Dec 05","344766"
"30 Sep 05","305448"
"30 Jun 05","287507"
"31 Mar 05","259627"
"31 Dec 04","243357"
"30 Sep 04","278721"
"30 Jun 04","352550"
"31 Mar 04","377575"
"31 Dec 03","393410"
"30 Sep 03","366231"
"30 Jun 03","306995"
"31 Mar 03","304431"
"31 Dec 02","352492"
"30 Sep 02","343143"
"30 Jun 02","357007"
"31 Mar 02","369171"
"31 Dec 01","309219"
"30 Sep 01","328459"
"30 Jun 01","320221"
"31 Mar 01","298555"
"31 Dec 00","290664"
"30 Sep 00","272050"
"30 Jun 00","284360"
"31 Mar 00","275002"
"31 Dec 99","286235"
"30 Sep 99","294577"
"30 Jun 99","291462"
"31 Mar 99","263127"
"31 Dec 98","250344"
"30 Sep 98","259305"
"30 Jun 98","261144"
"31 Mar 98","264188"
"31 Dec 97","256530"
"30 Sep 97","297078"
"30 Jun 97","310223"
"31 Mar 97","300098"
"31 Dec 96","303158"
"30 Sep 96","278036"
"30 Jun 96","254921"
"31 Mar 96","247838"
"31 Dec 95","244703"
"30 Sep 95","222933"
"30 Jun 95","214755"
"31 Mar 95","234381"
"31 Dec 94","249571"
"30 Sep 94","241866"
"30 Jun 94","258520"
"31 Mar 94","266870"
"31 Dec 93","243893"
"30 Sep 93","247281"
"30 Jun 93","259158"
"31 Mar 93","232255"
"31 Dec 92","191192"
"30 Sep 92","226701"
"30 Jun 92","233908"
"31 Mar 92","241135"
"31 Dec 91","252008"
"30 Sep 91","255419"
"30 Jun 91","270494"
"31 Mar 91","279859"
"31 Dec 90","273591"
"30 Sep 90","251786"
"30 Jun 90","241235"
"31 Mar 90","302984"
"31 Dec 89","306416"
"30 Sep 89","298946"
"30 Jun 89","272426"
"31 Mar 89","284417"
"31 Dec 88","328283"
"30 Sep 88","394627"
"30 Jun 88","442119"
"31 Mar 88","421695"
"31 Dec 87","382761"
"30 Sep 87","375544"
"30 Jun 87","350229"
"31 Mar 87","324307"
