"year","quarter","stock"
1975,1,12066.549
1975,2,12043.404
1975,3,12043.768
1975,4,12051
1976,1,12068.908
1976,2,12069.638
1976,3,12093.874
1976,4,12138
1977,1,12107.928
1977,2,12052.901
1977,3,12017.584
1977,4,11998
1978,1,12033.641
1978,2,12038.155
1978,3,12083.598
1978,4,12120
1979,1,12181.822
1979,2,12182.453
1979,3,12211.468
1979,4,12242
1980,1,12288.418
1980,2,12294.699
1980,3,12321.989
1980,4,12344
1981,1,12381.208
1981,2,12419.186
1981,3,12467.465
1981,4,12530
1982,1,12593.566
1982,2,12658.949
1982,3,12736.321
1982,4,12825
1983,1,12879.913
1983,2,12932.603
1983,3,13008.226
1983,4,13089
1984,1,13148.616
1984,2,13193.144
1984,3,13257.377
1984,4,13328
1985,1,13387.206
1985,2,13421.897
1985,3,13481.937
1985,4,13552
1986,1,13617.307
1986,2,13647.221
1986,3,13707.42
1986,4,13786
1987,1,13873.929
1987,2,13958.759
1987,3,14050.257
1987,4,14163
1988,1,14237.957
1988,2,14303.853
1988,3,14399.413
1988,4,14496
1989,1,14576.332
1989,2,14644.14
1989,3,14733.213
1989,4,14820
1990,1,14876.15
1990,2,14937.493
1990,3,15005.462
1990,4,15077
1991,1,15054.609
1991,2,15020.227
1991,3,15002.602
1991,4,14997.309
1992,1,15038.781
1992,2,15080.937
1992,3,15136.708
1992,4,15194.359
1993,1,15217.974
1993,2,15257.47
1993,3,15305.258
1993,4,15359.543
1994,1,15392.661
1994,2,15431.207
1994,3,15486.638
1994,4,15545.489
1995,1,15587.902
1995,2,15623.99
1995,3,15680.552
1995,4,15738.503
1996,1,15774.548
1996,2,15813.713
1996,3,15859.546
1996,4,15915.36
1997,1,15951.646
1997,2,15999.345
1997,3,16049.309
1997,4,16104.104
1998,1,16143.444
1998,2,16193.961
1998,3,16243.987
1998,4,16307.777
1999,1,16343.916
1999,2,16388.625
1999,3,16437.993
1999,4,16493.966
2000,1,16528.67
2000,2,16575.557
2000,3,16626.504
2000,4,16688.629
2001,1,16719.307
2001,2,16760.372
2001,3,16807.913
2001,4,16868
2002,1,16899.366
2002,2,16943.792
2002,3,16983.857
2002,4,17043.264
2003,1,17096.294
2003,2,17167.683
2003,3,17240.846
2003,4,17318.326
2004,1,17370.469
2004,2,17422.441
2004,3,17488.348
2004,4,17564.92
2005,1,17628.185
2005,2,17681.469
2005,3,17748.26
2005,4,17820.181
2006,1,17858.086
2006,2,17917.877
2006,3,17974.42
2006,4,18037.267
2007,1,18072.942
2007,2,18137.726
2007,3,18201.356
2007,4,18274.518
2008,1,18333.244
2008,2,18388.186
2008,3,18455.611
2008,4,18510.062
2009,1,18552.406
2009,2,18589.642
2009,3,18622.753
2009,4,18672.898
2010,1,18696.972
2010,2,18722.329
2010,3,18760.936
2010,4,18807.238
2011,1,18830.04
2011,2,18858.356
2011,3,18890.947
2011,4,18932.749
2012,1,18957.756
2012,2,18986.652
2012,3,19008.666
2012,4,19045.77
2013,1,19068.137
2013,2,19092
2013,3,19120.394
2013,4,19167.254
2014,1,19184.189
2014,2,19222.262
2014,3,19260.869
2014,4,19313.881
2015,1,19332.051
2015,2,19382.878
2015,3,19426.139
2015,4,19481.091
2016,1,19517.501
2016,2,19557.78
2016,3,19599.362
2016,4,19662.21
2017,1,19704.595
2017,2,19759.483
2017,3,19819.714
2017,4,19883.579
2018,1,19933.973
2018,2,19994.305
2018,3,20044.1
2018,4,20125.826
2019,1,20174.03
2019,2,20228.369
2019,3,20275.035
2019,4,20353.524
2020,1,20406.404
2020,2,20498.951
2020,3,20522.272
2020,4,20588.296
2021,1,20621.493
2021,2,20670.122
2021,3,20718.216
2021,4,20788.901
2022,1,20827.696
2022,2,20857.216
2022,3,20935.551
2022,4,21011.385
2023,1,21049.212
2023,2,21042.391
2023,3,21165.965
2023,4,21222.365
